HDAC8	HMGB1
KAT6A	HMGB1
DSG1	HMGB1
JAM2	HMGB1
CTSD	HMGB1
ENTPD1	HMGB1
KLK12	HMGB1
FOLH1	HMGB1
FCN2	HMGB1
PIK3CG	HMGB1
STAB2	HMGB1
CAMK1D	HMGB1
KLK6	HMGB1
STK16	HMGB1
BSG	HMGB1
EPHB4	HMGB1
CDC42BPB	HMGB1
CD84	HMGB1
KLK14	HMGB1
CFL1	HMGB1
SYNCRIP	HMGB1
DAPK2	HMGB1
DYRK3	HMGB1
ZAP70	HMGB1
CLU	HMGB1
ADCYAP1-27	HMGB1
HSD17B1	HMGB1
PPIB	HMGB1
PDIA3	HMGB1
SMPDL3A	HMGB1
SFN	HMGB1
IMPDH2	HMGB1
MAP3K7	HMGB1
E7_HPV16	TNFRSF11B
E7_HPV18	TNFRSF11B
LTBR	TNFRSF11B
TNFSF18	TNFRSF11B
IL1F7	TNFRSF11B
CD97	TNFRSF11B
ARG1	TNFRSF11B
CTSD	TNFRSF11B
KLK12	TNFRSF11B
FOLH1	TNFRSF11B
CA10	TNFRSF11B
CDK5	TNFRSF11B
CDK8	TNFRSF11B
NTRK1	TNFRSF11B
PPP3R1	TNFRSF11B
ANGPTL4	TNFRSF11B
TPO	TNFRSF11B
SYNCRIP	TNFRSF11B
TPM2	TNFRSF11B
SH2D1A	TNFRSF11B
ATP5B	TNFRSF11B
RB1	TNFRSF11B
CHEK1	POMC-be
CA7	POMC-be
SERPINA4	POMC-be
TG	POMC-be
NGF	POMC-be
GPNMB	POMC-be
C3B-inac	CFI
IL27	CFI
SERPINA3	CFI
C9	CFI
CFB	CFI
CFH	CFI
CRP	CFI
LEP	IGFBP2
GHR	IGFBP2
IGF1	IGFBP3
ITIH4	IGFBP3
PRL	LEP
MMP3	LEP
GHR	LEP
FETUB	LEP
IL1RL1	LEP
TFF3	LEP
SHBG	LEP
RELT	LEP
CCL11	CCL2
MPO	MMP9
TNFRSF1A	MMP9
HGF	MMP9
AZU1	MMP9
LTF	MMP9
ALPL	MMP9
LCN2	MMP9
RETN	MMP9
DLL4	MMP9
PGLYRP1	MMP9
PRTN3	MMP9
OLR1	MMP9
BPI	MMP9
LIFR	MMP9
PDE5A	MMP9
TNFSF14	MMP9
AZU1	MPO
LTF	MPO
ALPL	MPO
LCN2	MPO
RETN	MPO
DLL4	MPO
PGLYRP1	MPO
PRTN3	MPO
OLR1	MPO
BPI	MPO
LIFR	MPO
ANXA1	MPO
ICOSLG	MPO
IMPDH1	MPO
PDE5A	MPO
ELANE	MPO
S100A9	MPO
TNFSF14	MPO
MSR1	PRL
PAPPA	PRL
ADAM12	PRL
ADCYAP1-38	PRL
EFNA5	ROR1
CNTFR	ROR1
NBL1	ROR1
LSAMP	ROR1
TGFBR3	ROR1
CST6	ROR1
MATN2	ROR1
RGMB	ROR1
HFE2	ROR1
EPHA5	ROR1
IL20	ROR1
EPHA2	ROR1
CD55	ROR1
EPHB6	ROR1
NRXN3	ROR1
UNC5C	ROR1
TNFRSF21	ROR1
VEGFA-iso121	VEGFA
COMMD7	TNFRSF9
TOP1	TNFRSF9
VEGFC	TNFRSF9
ERBB4	TNFSF9
HCK	TNFSF9
PRSS3	TNFSF9
C3B	TNFSF9
ADAM12	ANGPT2
SLITRK5	ANGPT2
GPC3	ANGPT2
CGA-CGB	ANGPT2
IL10RB	CD80
MST1R	CD80
CX3CL1	CD80
ARG1	CD80
CD22	CD80
PAK3	CD80
BIRC5	CD80
PLCG1	CD80
LAYN	TNFRSF8
PRKCZ	TNFRSF8
MAPT	TNFRSF8
PECAM1	TNFRSF8
MMP17	TNFRSF8
ESR1	TNFRSF8
GAS1	TNFRSF8
IL15RA	TNFRSF8
EPO	TNFRSF8
TGFB3	TNFRSF8
CDH12	TNFRSF8
MMP10	TNFRSF8
WNT7A	TNFRSF8
FGF1	CRLF1
CNTF	CRLF1
BMPR1A	CRLF1
RGMB	CST3
B2M	CST3
LYZ	CST3
RELT	CST3
UNC5C	CST3
TNFRSF21	CST3
CNTFR	TYRO3
IL1R1	TYRO3
CADM1	TYRO3
RPS27A-UbB	EIF5
UBE2I	EIF5
METAP1	EIF5
PTPN11	EIF5
UFC1	EIF5
BTK	EIF5
CA13	EIF5
RPS6KA3	EIF5
XPNPEP1	EIF5
CASP3	EIF5
UFM1	EIF5
PPIA	EIF5
TPT1	EIF5
ARID3A	EIF5
EEF1B2	EIF5
SNX4	EIF5
UBE2N	EIF5
HSPA1A	EIF5
VTA1	EIF5
EPS15L1	EIF5
FER	EIF5
EIF4G2	EIF5
NME2	EIF5
NSFL1C	EIF5
NUDCD3	EIF5
PFDN5	EIF5
TKT	EIF5
TPI1	EIF5
PTPN6	EIF5
PDPK1	EIF5
RPS27A	EIF5
GSTP1	EIF5
CRK	EIF5
MSN	EIF5
SHC1	EIF5
EFNA5	EFNA4
CNTFR	EFNA4
BCAM	EFNA4
NBL1	EFNA4
TNFSF15	EFNA4
PDCD1LG2	EFNA4
Ck-beta-8-1	EFNA4
IL18BP	EFNA4
LRIG3	EFNA4
CADM1	EFNA4
INSR	EFNA4
TEC	EFNA4
CAMKK1	EFNA4
IGF1R	EFNA4
EPHA2	EFNA4
CDNF	EFNA4
CD200	EFNA4
RELT	EFNA4
SEMA6A	EFNA4
HAVCR2	EFNA4
UNC5D	EFNA4
ANXA6	EFNA4
NTRK3	EFNA5
CNTFR	EFNA5
AGRP	EFNA5
BCAM	EFNA5
KLK8	EFNA5
WIF1	EFNA5
NBL1	EFNA5
TNFSF15	EFNA5
IL1R1	EFNA5
PDCD1LG2	EFNA5
TGFBR3	EFNA5
Ck-beta-8-1	EFNA5
IL18BP	EFNA5
CD109	EFNA5
HTRA2	EFNA5
LRIG3	EFNA5
CADM1	EFNA5
INSR	EFNA5
TEC	EFNA5
EPHA5	EFNA5
CAMKK1	EFNA5
IGF1R	EFNA5
MFGE8	EFNA5
C3B	EFNA5
SLITRK5	EFNA5
EPHA2	EFNA5
ENG	EFNA5
EPHB6	EFNA5
NRCAM	EFNA5
RELT	EFNA5
SEMA6A	EFNA5
HAVCR2	EFNA5
UNC5C	EFNA5
UNC5D	EFNA5
ANXA6	EFNA5
FGF17	ERBB2
EGFR	ERBB3
GHR	ERBB3
LGALS3	ERBB3
F10A	ERBB3
BMP1	ERBB3
SLPI	ERBB3
F10	ERBB3
ALCAM	ERBB3
MAPT	ERBB4
SERPINE2	ERBB4
CD207	ERBB4
CNTF	ERBB4
IL25	ERBB4
PON1	ERBB4
KIRREL3	ERBB4
ANXA6	ERBB4
ICAM3	TACSTD2
PSPN	TACSTD2
BCAM	TACSTD2
ICOS	TACSTD2
CST4	TACSTD2
EEF1B2	TACSTD2
SIGLEC1	TACSTD2
TGFBR2	TACSTD2
EGFR	IL6ST
CDH5	IL6ST
MET	IL6ST
BMP7	IL6ST
CNTN1	IL6ST
LGALS4	IL6ST
MRC2	IL6ST
CNTN4	IL6ST
MATN2	IL6ST
INSR	IL6ST
CHL1	IL6ST
IGF1R	IL6ST
NTRK2	IL6ST
CD55	IL6ST
NOTCH1	IL6ST
ROBO2	IL6ST
TNFRSF21	IL6ST
EPO	HMOX2
RBM39	HMOX2
GSTP1	HMOX2
HNRNPA2B1	HMOX2
NANOG	E7_HPV16
NCR2	E7_HPV16
ACVR1B	E7_HPV16
ADAMTS4	E7_HPV16
PCNA	E7_HPV16
IL18RAP	E7_HPV16
CNTN5	E7_HPV16
CD207	E7_HPV16
GZMH	E7_HPV16
BMX	E7_HPV16
CNTF	E7_HPV16
IL17B	E7_HPV16
PSMD7	E7_HPV16
IL7	E7_HPV16
EIF4EBP2	E7_HPV16
PON1	E7_HPV16
LCORL	E7_HPV16
FGF12	E7_HPV16
IL23A	E7_HPV16
OLFM4	E7_HPV16
NCR1	E7_HPV16
LTBR	E7_HPV18
MST1R	E7_HPV18
CDH3	E7_HPV18
OSM	E7_HPV18
TNFSF18	E7_HPV18
IL1F7	E7_HPV18
ARG1	E7_HPV18
CD22	E7_HPV18
WISP1	E7_HPV18
ARSB	E7_HPV18
CA4	E7_HPV18
CTSD	E7_HPV18
KLK12	E7_HPV18
FOLH1	E7_HPV18
AURKB	E7_HPV18
CDK5	E7_HPV18
FLT3	E7_HPV18
BIRC5	E7_HPV18
NTRK1	E7_HPV18
CDH6	E7_HPV18
MASP1	E7_HPV18
EPHB4	E7_HPV18
LGMN	E7_HPV18
PRSS27	E7_HPV18
CDC42BPB	E7_HPV18
CADM3	E7_HPV18
OPCML	E7_HPV18
RBP4	E7_HPV18
DKKL1	E7_HPV18
PPP3R1	E7_HPV18
COLEC12	E7_HPV18
KLK14	E7_HPV18
IL5	E7_HPV18
ANGPTL4	E7_HPV18
TPO	E7_HPV18
DYRK3	E7_HPV18
SPHK2	E7_HPV18
TPM2	E7_HPV18
SH2D1A	E7_HPV18
APOD	E7_HPV18
CMPK1	E7_HPV18
AGR2	E7_HPV18
RB1	E7_HPV18
PDE2A	E7_HPV18
STK17B	E7_HPV18
ABL2	E7_HPV18
BCAR3	E7_HPV18
CDH15	E7_HPV18
TNFRSF11A	E7_HPV18
GDI2	HSP90AA1
CAPN1	HSP90AA1
POR	HSP90AA1
RPS27A-UbB	HSP90AA1
MAPK3	HSP90AA1
UBE2I	HSP90AA1
PTPN11	HSP90AA1
PRKACA	HSP90AA1
RPS6KA3	HSP90AA1
XPNPEP1	HSP90AA1
CASP3	HSP90AA1
MDH1	HSP90AA1
ARID3A	HSP90AA1
EEF1B2	HSP90AA1
NAGK	HSP90AA1
UBE2N	HSP90AA1
AKR7A2	HSP90AA1
AKR1A1	HSP90AA1
NME2	HSP90AA1
GPI	HSP90AA1
RBM39	HSP90AA1
TKT	HSP90AA1
TPI1	HSP90AA1
PTPN6	HSP90AA1
MAPK14	HSP90AA1
MSN	HSP90AA1
CSNK2A1-2B	HSP90AA1
HNRNPA2B1	HSP90AA1
KPNA2	IL10RB
ADAMTS1	IL10RB
CA4	IL10RB
IL17RD	IL10RB
IL34	IL10RB
XRCC6	IL12RB1
CD207	IL12RB1
PIK3CA	IL12RB1
NTF4	IL12RB1
ANP32B	IL12RB1
FCRL3	IL12RB1
CBX5	IL12RB1
RPSA	IL12RB1
IL4	IL13RA1
GDI2	IL2RG
ULBP3	IL2RG
SOD1	IL2RG
RPS27A-UbB	IL2RG
EHMT2	IL2RG
AREG	IL2RG
IFNG	IL2RG
JAM3	IL2RG
FTH1	IL2RG
KREMEN2	IL2RG
XPNPEP1	IL2RG
CAT	IL2RG
VIP	IL2RG
MDH1	IL2RG
NACA	IL2RG
PRDX1	IL2RG
PSMA6	IL2RG
RPS6KA5	IL2RG
SBDS	IL2RG
SEZ6L2	IL2RG
UBE2L3	IL2RG
EEF1B2	IL2RG
EIF5A	IL2RG
KPNB1	IL2RG
PDXP	IL2RG
PSMD7	IL2RG
UBE2N	IL2RG
FST	IL2RG
NME2	IL2RG
PFDN5	IL2RG
TKT	IL2RG
TPI1	IL2RG
INHBB	IL2RG
DHH	IL2RG
FGF16	IL2RG
FGF8-isoA	IL2RG
IL29	IL2RG
RPS27A	IL2RG
FGF7	IL2RG
IL3RA	IL2RG
FLRT1	IL2RG
EPB41	IL2RG
HBA1	IL2RG
CA1	IL2RG
PSME1	IL2RG
ADSL	IL2RG
CSNK2A1-2B	IL2RG
CSNK2A2-2B	IL2RG
PPIE	IL2RG
PRKCZ	LAYN
MAPT	LAYN
PECAM1	LAYN
MMP17	LAYN
KAT6A	LAYN
ESR1	LAYN
GAS1	LAYN
EPO	LAYN
IFNA2	LAYN
CSF1	LAYN
HINT1	LAYN
PLXNC1	LAYN
OSM	LTBR
TNFSF18	LTBR
IL1F7	LTBR
CCL1	LTBR
AIF1	LTBR
HDAC8	LTBR
DSG1	LTBR
JAM2	LTBR
ARSB	LTBR
ENTPD1	LTBR
KLK12	LTBR
FOLH1	LTBR
CA10	LTBR
FCN2	LTBR
PIK3CG	LTBR
STAB2	LTBR
CAMK1D	LTBR
FLT3	LTBR
KLK6	LTBR
STK16	LTBR
CDH6	LTBR
MASP1	LTBR
EPHB4	LTBR
LGMN	LTBR
PRSS27	LTBR
CDC42BPB	LTBR
CADM3	LTBR
OPCML	LTBR
DKKL1	LTBR
PPP3R1	LTBR
COLEC12	LTBR
KLK14	LTBR
IL5	LTBR
SYNCRIP	LTBR
DAPK2	LTBR
DYRK3	LTBR
TPM2	LTBR
ZAP70	LTBR
ADCYAP1-27	LTBR
HSD17B1	LTBR
APOD	LTBR
PPIB	LTBR
PDIA3	LTBR
SMPDL3A	LTBR
CMPK1	LTBR
RB1	LTBR
PDE2A	LTBR
STK17B	LTBR
PDE11A	LTBR
MAP3K7	LTBR
ABL2	LTBR
BCAR3	LTBR
CALR	LTBR
CDH15	LTBR
FSTL3	MRC1
GRN	MRC1
CD163	MRC1
NRP1	CSF1R
FCGR3B	CSF1R
CD163	CSF1R
NOTCH3	CSF1R
CA4	MST1R
MATN3	MST1R
CNTN5	MST1R
PSMD7	MST1R
HS6ST1	MST1R
MAPK12	MST1R
CAPN1	PAFAH1B2
PTPN11	PAFAH1B2
PRKACA	PAFAH1B2
CASP3	PAFAH1B2
EEF1B2	PAFAH1B2
AKR7A2	PAFAH1B2
AKR1A1	PAFAH1B2
TKT	PAFAH1B2
TPI1	PAFAH1B2
CRK	PAFAH1B2
IGFBP6	CDH3
ARSB	CDH3
PRSS27	CDH3
OPCML	CDH3
DKKL1	CDH3
PPP3R1	CDH3
ETHE1	CDH3
APOD	CDH3
AMH	CDH3
FGFR4	CDH3
JAK2	CDH3
PDE2A	CDH3
STK17B	CDH3
ABL2	CDH3
TNFRSF13C	CDH3
SNRPF	CDH3
RAC1	PRKCA
EDAR	PRKCA
METAP1	PRKCA
LYN-isoB	PRKCA
BTK	PRKCA
LYN	PRKCA
CASP3	PRKCA
FYN	PRKCA
14-3-3	PRKCA
AKR7A2	PRKCA
SPHK1	PRKCA
CLIC1	PRKCA
PPIF	PRKCA
PRKCB	PRKCA
SRC	PRKCA
MAPT	PRKCZ
TDGF1	PRKCZ
PECAM1	PRKCZ
CRLF2	PRKCZ
SOD1	PRKCZ
MMP17	PRKCZ
ESR1	PRKCZ
HIST1H1C	PRKCZ
GAS1	PRKCZ
ANGPTL3	PRKCZ
FCGR1A	PRKCZ
ABL1	PRKCZ
BCL2	PRKCZ
EPO	PRKCZ
TGFB3	PRKCZ
CDH12	PRKCZ
MMP10	PRKCZ
MED1	PRKCZ
CCL13	PRKCZ
H2AFZ	PRKCZ
MDM2	PRKCZ
IL28A	PRKCZ
GREM1	PRKCZ
CAPN1	GDI2
RPS27A-UbB	GDI2
MAPK3	GDI2
EHMT2	GDI2
AREG	GDI2
IFNG	GDI2
JAM3	GDI2
FTH1	GDI2
KREMEN2	GDI2
PRKCI	GDI2
PTPN11	GDI2
BCL2	GDI2
PRKACA	GDI2
XPNPEP1	GDI2
CAT	GDI2
CA3	GDI2
MDH1	GDI2
PRDX1	GDI2
PSMA6	GDI2
RPS6KA5	GDI2
SBDS	GDI2
UBE2L3	GDI2
ARID3A	GDI2
EEF1B2	GDI2
EIF5A	GDI2
KPNB1	GDI2
PDXP	GDI2
UBE2N	GDI2
HSPA1A	GDI2
AKR1A1	GDI2
NME2	GDI2
PFDN5	GDI2
GPI	GDI2
NAPA	GDI2
TKT	GDI2
TPI1	GDI2
INHBB	GDI2
DHH	GDI2
FGF16	GDI2
FGF8-isoA	GDI2
IL29	GDI2
RPS27A	GDI2
FGF7	GDI2
EPB41	GDI2
HBA1	GDI2
CA1	GDI2
CRK	GDI2
ADSL	GDI2
CSNK2A1-2B	GDI2
PPIE	GDI2
HNRNPA2B1	GDI2
STIP1	GDI2
OSM	ICAM3
KAT6A	ICAM3
LGALS4	ICAM3
ICOS	ICAM3
NCR3	ICAM3
ENTPD1	ICAM3
MATN3	ICAM3
SERPINE2	ICAM3
STAB2	ICAM3
TPO	ICAM3
ENTPD3	ICAM3
RASA1	ICAM3
ZAP70	ICAM3
CLU	ICAM3
HSPD1	PLAUR
DLL4	PLAUR
PECAM1	MAPT
CRLF2	MAPT
MMP17	MAPT
KAT6A	MAPT
ESR1	MAPT
GAS1	MAPT
ANGPTL3	MAPT
FCGR1A	MAPT
BCL2	MAPT
EPO	MAPT
TGFB3	MAPT
CDH12	MAPT
MMP10	MAPT
H2AFZ	MAPT
IL28A	MAPT
GREM1	MAPT
OLFM4	MAPT
TNFRSF1B	TNFRSF1A
PGLYRP1	TNFRSF1A
DDC	TNFRSF1A
OLFM4	TNFRSF1A
DCN	NTRK3
EGFR	NTRK3
CNTFR	NTRK3
EDA	NTRK3
BMP7	NTRK3
CNTN1	NTRK3
IL1R1	NTRK3
MRC2	NTRK3
WFIKKN2	NTRK3
CD109	NTRK3
CNTN4	NTRK3
LRIG3	NTRK3
CADM1	NTRK3
INSR	NTRK3
POSTN	NTRK3
DKK3	NTRK3
TEK	NTRK3
IGF1R	NTRK3
L1CAM	NTRK3
C3B	NTRK3
NCAM1	NTRK3
SLITRK5	NTRK3
NTRK2	NTRK3
ENG	NTRK3
CDNF	NTRK3
NRCAM	NTRK3
SEMA6A	NTRK3
CD86	NTRK3
IgG	TNFRSF17
DSG2	TNFRSF17
RTN4	TNFRSF17
SLAMF7	TNFRSF17
laminin	DCN
SHH	DCN
ADAMTS5	DCN
ADAMTS1	DCN
BGN	DCN
INSR	DCN
IGF1R	DCN
RPS27A-UbB	CAPN1
RAC1	CAPN1
PTPN11	CAPN1
PRKACA	CAPN1
RPS6KA3	CAPN1
XPNPEP1	CAPN1
CASP3	CAPN1
MDH1	CAPN1
TPT1	CAPN1
EEF1B2	CAPN1
KPNB1	CAPN1
UBE2N	CAPN1
AKR7A2	CAPN1
AKR1A1	CAPN1
VTA1	CAPN1
NME2	CAPN1
NSFL1C	CAPN1
NAPA	CAPN1
TKT	CAPN1
TPI1	CAPN1
RPS27A	CAPN1
CRK	CAPN1
CSNK2A1-2B	CAPN1
PPIF	CAPN1
STIP1	CAPN1
CYCS	CKM
MB	CKM
CKB-CKM	CKM
CA3	CKM
FABP3	CKM
MAPK12	CKM
FAP	CKM
IMPDH2	CKM
PECAM1	TDGF1
ICOS	TDGF1
PRSS7	TDGF1
GAS1	TDGF1
MBD4	TDGF1
MED1	TDGF1
ADAMTS15	TDGF1
LTA	TDGF1
MET	EGFR
CNTN1	EGFR
IL19	EGFR
IDS	EGFR
CNTN4	EGFR
DLL4	EGFR
CHL1	EGFR
IGF2R	EGFR
A2M	EGFR
Thrombin	EGFR
IGF1R	EGFR
L1CAM	EGFR
NCAM1	EGFR
NTRK2	EGFR
CD55	EGFR
NOTCH1	EGFR
ROBO2	EGFR
ALCAM	EGFR
NOV	HGF
LTF	HGF
PGLYRP1	HGF
OLR1	HGF
TNFAIP6	HGF
JAM2	HSPD1
IL1B	HSPD1
PIK3CG	HSPD1
BSG	HSPD1
CD84	HSPD1
DAPK2	HSPD1
SFN	HSPD1
PDE3A	HSPD1
CFH	C3B-inac
CFD	IGFBP5
IGF1	IGFBP5
F7	IGFBP5
C5A	IGFBP6
CFD	IGFBP6
IGFBP4	IGFBP6
SERPINF2	IGFBP6
WISP1	IGFBP6
ADAMTS13	IGFBP6
F7	IGFBP6
C1R	IGFBP6
GFRA1	IGFBP6
SERPINA5	IGFBP6
BIRC5	IGFBP6
RBP4	IGFBP6
MAPKAPK5	IGFBP6
SPARCL1	IGFBP6
SERPING1	IGFBP6
ITIH4	IGFBP6
GOT1	IGFBP6
DBNL	IGFBP6
GPC5	IGFBP6
JAK2	IGFBP6
LAG3	IGFBP6
PDE11A	IGFBP6
DPT	MIA
CCL1	OSM
AIF1	OSM
HDAC8	OSM
DSG1	OSM
ICOS	OSM
JAM2	OSM
ARSB	OSM
CTSD	OSM
ENTPD1	OSM
KLK12	OSM
FOLH1	OSM
FCN2	OSM
PIK3CG	OSM
STAB2	OSM
CAMK1D	OSM
FLT3	OSM
KLK6	OSM
STK16	OSM
CDH6	OSM
MASP1	OSM
EPHB4	OSM
LGMN	OSM
PRSS27	OSM
MMEL1	OSM
CDC42BPB	OSM
OPCML	OSM
RBP4	OSM
CD84	OSM
DKKL1	OSM
PPP3R1	OSM
COLEC12	OSM
KLK14	OSM
IL5	OSM
DAPK2	OSM
DYRK3	OSM
ENTPD3	OSM
TPM2	OSM
ZAP70	OSM
CLU	OSM
ADCYAP1-27	OSM
HSD17B1	OSM
APOD	OSM
PPIB	OSM
PDIA3	OSM
SMPDL3A	OSM
CMPK1	OSM
SFN	OSM
IL1RAPL2	OSM
PDE2A	OSM
STK17B	OSM
MAP3K7	OSM
BCAR3	OSM
CALR	OSM
CDH15	OSM
TNFRSF11A	OSM
CRLF2	PECAM1
MMP17	PECAM1
KAT6A	PECAM1
ESR1	PECAM1
CD4	PECAM1
PRSS7	PECAM1
GAS1	PECAM1
ANGPTL3	PECAM1
FCGR1A	PECAM1
ABL1	PECAM1
EPO	PECAM1
TGFB3	PECAM1
BMPER	PECAM1
MMP10	PECAM1
CCL13	PECAM1
Plasmin	PECAM1
IL28A	PECAM1
ENTPD3	PECAM1
GREM1	PECAM1
LTA	PECAM1
CD274	PSPN
SERPINA3	PF4
MAPKAPK5	PF4
TF	PF4
SIGLEC7	PROS1
F10A	PROS1
TFPI	PROS1
FCN3	PROS1
F10	PROS1
SHBG	PROS1
INHBA	SERPINA7
C9	SERPINA7
RET	SERPINA7
