GAS1	GFRA3
ANGPTL3	GFRA3
FCGR1A	GFRA3
IL24	GFRA3
ABL1	GFRA3
IL17D	GFRA3
CHST2	GFRA3
CHST6	GFRA3
GREM1	GFRA3
LTA	GFRA3
TNFRSF8	EFNB3
HMOX2	EFNB3
PRKCZ	EFNB3
MAPT	EFNB3
TDGF1	EFNB3
PECAM1	EFNB3
CRLF2	EFNB3
MMP17	EFNB3
TNFSF4	EFNB3
ESR1	EFNB3
CD4	EFNB3
PRSS7	EFNB3
GAS1	EFNB3
ANGPTL3	EFNB3
FCGR1A	EFNB3
GPC2	EFNB3
IL24	EFNB3
ABL1	EFNB3
BCL2	EFNB3
EPO	EFNB3
TGFB3	EFNB3
CDH12	EFNB3
MMP10	EFNB3
FGF4	EFNB3
CCL13	EFNB3
MDM2	EFNB3
PES1	EFNB3
IL28A	EFNB3
GREM1	EFNB3
IL11	EFNB3
IGFBP6	GFRA2
FRZB	GFRA2
SERPINF2	GFRA2
C1R	GFRA2
GFRA1	GFRA2
LAG3	GFRA2
CXCL5	CCL5
CXCL11	CCL5
APP	CCL5
THBS1	CCL5
CXCL6	CCL5
CXCL12	CCL5
LTBR	HMGB1
HSPD1	HMGB1
OSM	HMGB1
CCL1	HMGB1
AIF1	HMGB1
HDAC8	HMGB1
KAT6A	HMGB1
DSG1	HMGB1
CXCL1	HMGB1
JAM2	HMGB1
CTSD	HMGB1
ENTPD1	HMGB1
KLK12	HMGB1
SERPINE2	HMGB1
FOLH1	HMGB1
PIK3CG	HMGB1
None	HMGB1
STAB2	HMGB1
CAMK1D	HMGB1
STK16	HMGB1
BSG	HMGB1
CDC42BPB	HMGB1
RBP4	HMGB1
CD84	HMGB1
COLEC12	HMGB1
KLK14	HMGB1
CFL1	HMGB1
SYNCRIP	HMGB1
DAPK2	HMGB1
DYRK3	HMGB1
ENTPD3	HMGB1
ZAP70	HMGB1
CLU	HMGB1
ADCYAP1-27	HMGB1
HSD17B1	HMGB1
PPIB	HMGB1
PDIA3	HMGB1
SMPDL3A	HMGB1
SFN	HMGB1
MAP3K7	HMGB1
CALR	HMGB1
TNFRSF11A	HMGB1
LTBR	TNFRSF11B
IL1F7	TNFRSF11B
C1Q	TNFRSF11B
CD97	TNFRSF11B
CX3CL1	TNFRSF11B
AIF1	TNFRSF11B
ARG1	TNFRSF11B
CFD	TNFRSF11B
DSG1	TNFRSF11B
CA4	TNFRSF11B
CTSD	TNFRSF11B
KLK12	TNFRSF11B
FOLH1	TNFRSF11B
CA10	TNFRSF11B
AURKB	TNFRSF11B
CDK5	TNFRSF11B
CDK8	TNFRSF11B
CHRDL1	TNFRSF11B
PAK3	TNFRSF11B
None	TNFRSF11B
Lymphotoxin-a2b1	TNFRSF11B
TPO	TNFRSF11B
SYNCRIP	TNFRSF11B
TPM2	TNFRSF11B
ZAP70	TNFRSF11B
APOD	TNFRSF11B
FGF9	POMC-be
ULBP2	POMC-be
IL11RA	POMC-be
IL20RA	POMC-be
C3B-inac	CFI
SERPINA3	CFI
C9	CFI
CFB	CFI
CFH	CFI
CRP	CFI
LEP	IGFBP2
CCL23	IGFBP2
GHR	IGFBP2
NRP1	IGFBP2
CNDP1	IGFBP2
PAPPA	IGFBP2
IGFBP4	IGFBP3
IGF1	IGFBP3
CXCL13	IGFBP3
ITIH4	IGFBP3
JAK2	IGFBP3
LAG3	IGFBP3
MMP3	LEP
GHR	LEP
ARTN	CCL2
FCAR	CCL2
MPO	MMP9
PLAUR	MMP9
TNFRSF1A	MMP9
HGF	MMP9
AZU1	MMP9
LTF	MMP9
ALPL	MMP9
LCN2	MMP9
RETN	MMP9
SFRP1	MMP9
DLL4	MMP9
PGLYRP1	MMP9
PRTN3	MMP9
FCN1	MMP9
OLR1	MMP9
BPI	MMP9
LIFR	MMP9
PDE5A	MMP9
TNFSF14	MMP9
AZU1	MPO
LTF	MPO
ALPL	MPO
LCN2	MPO
RETN	MPO
CTSS	MPO
DLL4	MPO
PGLYRP1	MPO
PRTN3	MPO
FCN1	MPO
OLR1	MPO
BPI	MPO
GPI	MPO
SFTPD	MPO
LIFR	MPO
ANXA1	MPO
CAPG	MPO
ICOSLG	MPO
IMPDH1	MPO
PDE5A	MPO
ELANE	MPO
S100A9	MPO
HNRNPA2B1	MPO
TNFSF14	MPO
MMP16	PRL
CST3	ROR1
CNTFR	ROR1
CDH5	ROR1
NBL1	ROR1
LSAMP	ROR1
TGFBR3	ROR1
MATN2	ROR1
RGMB	ROR1
HFE2	ROR1
SLITRK5	ROR1
EPHA2	ROR1
NTRK2	ROR1
CD55	ROR1
EPHB2	ROR1
EPHB6	ROR1
NRXN3	ROR1
ROBO2	ROR1
UNC5C	ROR1
TNFRSF21	ROR1
HDAC8	VEGFA
CDH6	VEGFA
MMEL1	VEGFA
CADM3	VEGFA
OCIAD1	VEGFA
COLEC12	VEGFA
DAPK2	VEGFA
PPIB	VEGFA
VEGFA-iso121	VEGFA
PDE3A	VEGFA
ABL2	VEGFA
CALR	VEGFA
GRAP2	VEGFA
ERBB4	TNFSF9
Rev_HV2BE	TNFSF9
PTN	TNFSF9
MFGE8	TNFSF9
SIGLEC1	TNFSF9
CCL23	ANGPT2
CNTN5	ANGPT2
CHST15	ANGPT2
CRLF1	CD80
MST1R	CD80
IL1F7	CD80
NOV	CD80
CX3CL1	CD80
ARG1	CD80
CD22	CD80
IL18RAP	CD80
PAK3	CD80
STX1A	CD80
CCL24	CD80
LIN7B	CD80
TK1	CD80
RASA1	CD80
TPM2	CD80
IL23A	CD80
CBX5	CD80
PLCG1	CD80
OLFM4	CD80
LAYN	TNFRSF8
PRKCZ	TNFRSF8
MAPT	TNFRSF8
PECAM1	TNFRSF8
CRLF2	TNFRSF8
MMP17	TNFRSF8
ESR1	TNFRSF8
PRSS7	TNFRSF8
GAS1	TNFRSF8
FCGR1A	TNFRSF8
BCL2	TNFRSF8
IL15RA	TNFRSF8
EPO	TNFRSF8
TGFB3	TNFRSF8
CDH12	TNFRSF8
MMP10	TNFRSF8
H2AFZ	TNFRSF8
IL28A	TNFRSF8
GREM1	TNFRSF8
LTA	TNFRSF8
TDGF1	CRLF1
PECAM1	CRLF1
CRLF2	CRLF1
CTF1	CRLF1
PRSS3	CRLF1
IFNA2	CRLF1
TGFB3	CRLF1
MDM2	CRLF1
KLK3	CRLF1
NBL1	CST3
RGMB	CST3
B2M	CST3
EPHA2	CST3
RELT	CST3
UNC5C	CST3
TNFRSF21	CST3
CNTFR	TYRO3
ACAN	TYRO3
TEK	TYRO3
NRCAM	TYRO3
RPS27A-UbB	EIF5
UBE2I	EIF5
METAP1	EIF5
PTPN11	EIF5
UFC1	EIF5
BTK	EIF5
IL8	EIF5
RPS6KA3	EIF5
UFM1	EIF5
PPIA	EIF5
TPT1	EIF5
ARID3A	EIF5
EEF1B2	EIF5
SNX4	EIF5
UBE2N	EIF5
HSPA1A	EIF5
VTA1	EIF5
EPS15L1	EIF5
FER	EIF5
EIF4G2	EIF5
NME2	EIF5
NSFL1C	EIF5
PFDN5	EIF5
RBM39	EIF5
TKT	EIF5
TPI1	EIF5
PTPN6	EIF5
PDPK1	EIF5
RPS27A	EIF5
GSTP1	EIF5
CRK	EIF5
MSN	EIF5
CSNK2A1-2B	EIF5
SHC1	EIF5
EFNA5	EFNA4
CNTFR	EFNA4
NBL1	EFNA4
TNFSF15	EFNA4
IL1R1	EFNA4
PDCD1LG2	EFNA4
IL18BP	EFNA4
SERPINE2	EFNA4
LRIG3	EFNA4
CADM1	EFNA4
TEC	EFNA4
MFRP	EFNA4
TEK	EFNA4
CAMKK1	EFNA4
IGF1R	EFNA4
C3B	EFNA4
SLITRK5	EFNA4
EPHA2	EFNA4
ENG	EFNA4
CDNF	EFNA4
RELT	EFNA4
SEMA6A	EFNA4
UNC5D	EFNA4
IL17RC	EFNA4
NTRK3	EFNA5
CNTFR	EFNA5
AGRP	EFNA5
BCAM	EFNA5
KLK8	EFNA5
NBL1	EFNA5
TNFSF15	EFNA5
IL1R1	EFNA5
PDCD1LG2	EFNA5
TGFBR3	EFNA5
IL18BP	EFNA5
CD109	EFNA5
HTRA2	EFNA5
LRIG3	EFNA5
CADM1	EFNA5
INSR	EFNA5
CLEC7A	EFNA5
TEC	EFNA5
MFRP	EFNA5
TEK	EFNA5
CAMKK1	EFNA5
IGF1R	EFNA5
SLITRK5	EFNA5
EPHA2	EFNA5
ENG	EFNA5
ITGAV	EFNA5
CDNF	EFNA5
EPHB6	EFNA5
NOTCH1	EFNA5
NRCAM	EFNA5
RELT	EFNA5
SEMA6A	EFNA5
UNC5C	EFNA5
UNC5D	EFNA5
ANXA6	EFNA5
TNFRSF21	EFNA5
EGFR	ERBB3
BMP1	ERBB3
RBP4	ERBB3
PLG	ERBB3
NOTCH1	ERBB3
ALCAM	ERBB3
PRKCZ	ERBB4
ADAMTS4	ERBB4
MMP17	ERBB4
CTF1	ERBB4
PCNA	ERBB4
ESR1	ERBB4
KREMEN2	ERBB4
BCL2	ERBB4
EPHA3	ERBB4
FGF1	ERBB4
CNTF	ERBB4
CDH12	ERBB4
IL7	ERBB4
TG	ERBB4
SLPI	ERBB4
FCRL3	ERBB4
IL23A	ERBB4
KIRREL3	ERBB4
IL20RA	ERBB4
EGFR	IL6ST
CDH5	IL6ST
HDAC8	IL6ST
CNTN1	IL6ST
TGFBR3	IL6ST
MRC2	IL6ST
CNTN4	IL6ST
HTRA2	IL6ST
LRIG3	IL6ST
MATN2	IL6ST
RGMB	IL6ST
PIK3CG	IL6ST
INSR	IL6ST
CHL1	IL6ST
MMP2	IL6ST
IGF1R	IL6ST
NCAM1	IL6ST
CDON	IL6ST
NTRK2	IL6ST
CD55	IL6ST
GPNMB	IL6ST
NOTCH1	IL6ST
ROBO2	IL6ST
TNFRSF21	IL6ST
ALCAM	IL6ST
PRKCZ	HMOX2
UBE2I	HMOX2
IL24	HMOX2
CAMK2B	HMOX2
PRKCI	HMOX2
ARID3A	HMOX2
RBM39	HMOX2
IL28A	HMOX2
SFTPD	HMOX2
GREM1	HMOX2
GSTP1	HMOX2
MAPK14	HMOX2
NCR2	E7_HPV16
IL10	E7_HPV16
ADAMTS4	E7_HPV16
PCNA	E7_HPV16
CD207	E7_HPV16
MPL	E7_HPV16
IL17B	E7_HPV16
PTK6	E7_HPV16
IL7	E7_HPV16
EIF4EBP2	E7_HPV16
SYNCRIP	E7_HPV16
PON1	E7_HPV16
FGF12	E7_HPV16
IL23A	E7_HPV16
PDGFA	E7_HPV16
LTBR	E7_HPV18
OSM	E7_HPV18
TNFSF18	E7_HPV18
CSF3R	E7_HPV18
IL1F7	E7_HPV18
CD97	E7_HPV18
ARG1	E7_HPV18
CD22	E7_HPV18
WISP1	E7_HPV18
ARSB	E7_HPV18
CA4	E7_HPV18
CTSD	E7_HPV18
FOLH1	E7_HPV18
FCN2	E7_HPV18
AURKB	E7_HPV18
STAB2	E7_HPV18
CDC2	E7_HPV18
FLT3	E7_HPV18
BIRC5	E7_HPV18
NTRK1	E7_HPV18
CDH6	E7_HPV18
MASP1	E7_HPV18
EPHB4	E7_HPV18
PRSS27	E7_HPV18
MMEL1	E7_HPV18
CDC42BPB	E7_HPV18
CADM3	E7_HPV18
OPCML	E7_HPV18
RBP4	E7_HPV18
DKKL1	E7_HPV18
TLR4	E7_HPV18
PPP3R1	E7_HPV18
COLEC12	E7_HPV18
KLK14	E7_HPV18
IL5	E7_HPV18
TPO	E7_HPV18
SYNCRIP	E7_HPV18
DYRK3	E7_HPV18
SPHK2	E7_HPV18
TPM2	E7_HPV18
ZAP70	E7_HPV18
CBX5	E7_HPV18
SH2D1A	E7_HPV18
ADCYAP1-38	E7_HPV18
HSD17B1	E7_HPV18
APOD	E7_HPV18
PPIB	E7_HPV18
CMPK1	E7_HPV18
AGR2	E7_HPV18
RB1	E7_HPV18
PDE2A	E7_HPV18
STK17B	E7_HPV18
ABL2	E7_HPV18
BCAR3	E7_HPV18
CDH15	E7_HPV18
TNFRSF11A	E7_HPV18
GDI2	HSP90AA1
CAPN1	HSP90AA1
POR	HSP90AA1
IL16	HSP90AA1
XRCC6	HSP90AA1
RPS27A-UbB	HSP90AA1
MAPK3	HSP90AA1
TOP1	HSP90AA1
UBE2I	HSP90AA1
EHMT2	HSP90AA1
PTPN11	HSP90AA1
PRKACA	HSP90AA1
RPS6KA3	HSP90AA1
XPNPEP1	HSP90AA1
ITGA1	HSP90AA1
MDH1	HSP90AA1
RPS7	HSP90AA1
ARID3A	HSP90AA1
EEF1B2	HSP90AA1
NAGK	HSP90AA1
UBE2N	HSP90AA1
AKR1A1	HSP90AA1
NME2	HSP90AA1
GPI	HSP90AA1
RBM39	HSP90AA1
TKT	HSP90AA1
TPI1	HSP90AA1
PTPN6	HSP90AA1
SFTPD	HSP90AA1
RPS27A	HSP90AA1
GSTP1	HSP90AA1
CAPG	HSP90AA1
MAPK14	HSP90AA1
MSN	HSP90AA1
SSRP1	HSP90AA1
CSNK2A1-2B	HSP90AA1
HNRNPA2B1	HSP90AA1
BMP10	IL1RAP
SCARB2	IL1RAP
IFNA2	IL10RB
TK1	IL10RB
LCORL	IL10RB
IL34	IL10RB
MST1R	IL12RB1
NTF4	IL12RB1
PIK3CA	IL13RA1
GDI2	IL2RG
CAPN1	IL2RG
ULBP3	IL2RG
SOD1	IL2RG
RPS27A-UbB	IL2RG
EHMT2	IL2RG
AREG	IL2RG
IFNG	IL2RG
JAM3	IL2RG
FTH1	IL2RG
KREMEN2	IL2RG
PRKACA	IL2RG
XPNPEP1	IL2RG
CAT	IL2RG
MDH1	IL2RG
PRDX1	IL2RG
PSMA6	IL2RG
RPS6KA5	IL2RG
SBDS	IL2RG
SEZ6L2	IL2RG
UBE2L3	IL2RG
EEF1B2	IL2RG
EIF5A	IL2RG
KPNB1	IL2RG
PDXP	IL2RG
UBE2N	IL2RG
AKR7A2	IL2RG
NME2	IL2RG
NAPA	IL2RG
TKT	IL2RG
TPI1	IL2RG
INHBB	IL2RG
DHH	IL2RG
FGF16	IL2RG
FGF8-isoA	IL2RG
IL29	IL2RG
RPS27A	IL2RG
FGF7	IL2RG
FLRT1	IL2RG
EPB41	IL2RG
HBA1	IL2RG
CA1	IL2RG
PRDX6	IL2RG
ADSL	IL2RG
CSNK2A1-2B	IL2RG
KIF23	IL2RG
PPIE	IL2RG
FGF20	LAYN
IL16	LAYN
IL27	LAYN
MMP17	LAYN
ESR1	LAYN
IGF1	LAYN
VCAM1	LAYN
CRISP3	LAYN
GAS1	LAYN
CNDP2	LAYN
KLK5	LAYN
LRP8	LAYN
CTSE	LAYN
PSMA2	LAYN
C5B-C6	LAYN
PDE9A	LAYN
OSM	LTBR
TNFSF18	LTBR
IL1F7	LTBR
CCL1	LTBR
CD97	LTBR
AIF1	LTBR
ARG1	LTBR
DSG1	LTBR
JAM2	LTBR
ARSB	LTBR
ENTPD1	LTBR
KLK12	LTBR
FOLH1	LTBR
FCN2	LTBR
PIK3CG	LTBR
STAB2	LTBR
CAMK1D	LTBR
FLT3	LTBR
KLK6	LTBR
STK16	LTBR
CDH6	LTBR
MASP1	LTBR
EPHB4	LTBR
LGMN	LTBR
PRSS27	LTBR
MMEL1	LTBR
CDC42BPB	LTBR
CADM3	LTBR
OPCML	LTBR
OCIAD1	LTBR
DKKL1	LTBR
TLR4	LTBR
PPP3R1	LTBR
COLEC12	LTBR
KLK14	LTBR
IL5	LTBR
TPO	LTBR
DYRK3	LTBR
SPHK2	LTBR
TPM2	LTBR
ZAP70	LTBR
HSD17B1	LTBR
APOD	LTBR
PPIB	LTBR
PDIA3	LTBR
CMPK1	LTBR
SFN	LTBR
PRLR	LTBR
PDE2A	LTBR
STK17B	LTBR
PDE11A	LTBR
MAP3K7	LTBR
ABL2	LTBR
BCAR3	LTBR
CALR	LTBR
CDH15	LTBR
TNFRSF11A	LTBR
TNFRSF1B	MRC1
FSTL3	MRC1
CTSZ	MRC1
CD163	MRC1
LILRB2	MRC1
NRP1	CSF1R
FCGR3B	CSF1R
TNFSF8	CSF1R
LDHB	CSF1R
CD163	CSF1R
NOTCH3	CSF1R
KPNA2	MST1R
CD22	MST1R
CCL24	MST1R
TK1	MST1R
RASA1	MST1R
HS6ST1	MST1R
IL34	MST1R
RPS27A-UbB	PAFAH1B2
PTPN11	PAFAH1B2
UBE2N	PAFAH1B2
NME2	PAFAH1B2
TKT	PAFAH1B2
TPI1	PAFAH1B2
AMN	PAFAH1B2
RPS27A	PAFAH1B2
CRK	PAFAH1B2
EPHA10	PAFAH1B2
SERPINF2	CDH3
ARSB	CDH3
MASP1	CDH3
LGMN	CDH3
PRSS27	CDH3
OPCML	CDH3
DKKL1	CDH3
PPP3R1	CDH3
KLK14	CDH3
ETHE1	CDH3
APOD	CDH3
SERPINA6	CDH3
CMPK1	CDH3
AMH	CDH3
FGFR4	CDH3
JAK2	CDH3
PDE2A	CDH3
STK17B	CDH3
PDE11A	CDH3
TNFRSF13C	CDH3
SNRPF	CDH3
RAC1	PRKCA
METAP1	PRKCA
CSK	PRKCA
LYN-isoB	PRKCA
BTK	PRKCA
LYN	PRKCA
FYN	PRKCA
14-3-3	PRKCA
SPHK1	PRKCA
PDPK1	PRKCA
CLIC1	PRKCA
PPIF	PRKCA
PRKCB	PRKCA
SRC	PRKCA
MAPT	PRKCZ
PECAM1	PRKCZ
CRLF2	PRKCZ
SOD1	PRKCZ
MMP17	PRKCZ
ESR1	PRKCZ
HIST1H1C	PRKCZ
GAS1	PRKCZ
ANGPTL3	PRKCZ
FCGR1A	PRKCZ
GPC2	PRKCZ
ABL1	PRKCZ
BCL2	PRKCZ
EPO	PRKCZ
TGFB3	PRKCZ
CDH12	PRKCZ
MMP10	PRKCZ
CAMKK1	PRKCZ
MED1	PRKCZ
PGAM1	PRKCZ
CCL13	PRKCZ
H2AFZ	PRKCZ
MDM2	PRKCZ
IL28A	PRKCZ
GREM1	PRKCZ
CAPN1	GDI2
SOD1	GDI2
RPS27A-UbB	GDI2
UBE2I	GDI2
EHMT2	GDI2
AREG	GDI2
IFNG	GDI2
JAM3	GDI2
FTH1	GDI2
MAPK1	GDI2
KREMEN2	GDI2
PTPN11	GDI2
PRKACA	GDI2
XPNPEP1	GDI2
CAT	GDI2
IFNA2	GDI2
CA3	GDI2
MDH1	GDI2
PRDX1	GDI2
PSMA6	GDI2
RPS6KA5	GDI2
SBDS	GDI2
UBE2L3	GDI2
EEF1B2	GDI2
EIF5A	GDI2
KPNB1	GDI2
PDXP	GDI2
UBE2N	GDI2
AKR1A1	GDI2
NME2	GDI2
PFDN5	GDI2
GPI	GDI2
NAPA	GDI2
TKT	GDI2
TPI1	GDI2
INHBB	GDI2
DHH	GDI2
FGF16	GDI2
FGF8-isoA	GDI2
IL29	GDI2
RPS27A	GDI2
EPB41	GDI2
HBA1	GDI2
CA1	GDI2
CRK	GDI2
ADSL	GDI2
CSNK2A1-2B	GDI2
PPIE	GDI2
HNRNPA2B1	GDI2
KAT6A	ICAM3
IL4	ICAM3
TNFRSF1B	ICAM3
CRISP3	ICAM3
MATN3	ICAM3
CNTN2	ICAM3
GFRA1	ICAM3
LY9	ICAM3
ENTPD3	ICAM3
NXPH1	ICAM3
STC1	ICAM3
TNFRSF13C	ICAM3
SRC	ICAM3
HSPD1	PLAUR
KPNA2	PLAUR
IDE	PLAUR
DLL4	PLAUR
BSG	PLAUR
MFRP	PLAUR
PDE3A	PLAUR
PDE5A	PLAUR
TDGF1	MAPT
PECAM1	MAPT
CRLF2	MAPT
SOD1	MAPT
MMP17	MAPT
KAT6A	MAPT
ESR1	MAPT
GAS1	MAPT
KREMEN2	MAPT
ANGPTL3	MAPT
BCL2	MAPT
EPO	MAPT
TGFB3	MAPT
VIP	MAPT
CDH12	MAPT
MFRP	MAPT
MMP10	MAPT
IL28A	MAPT
GREM1	MAPT
TNFRSF1B	TNFRSF1A
PGLYRP1	TNFRSF1A
FCN1	TNFRSF1A
OLR1	TNFRSF1A
BPI	TNFRSF1A
DCN	NTRK3
EGFR	NTRK3
CNTFR	NTRK3
CNTN1	NTRK3
IL1R1	NTRK3
CD109	NTRK3
CNTN4	NTRK3
LRIG3	NTRK3
CADM1	NTRK3
INSR	NTRK3
POSTN	NTRK3
CHL1	NTRK3
PLAU	NTRK3
MMP2	NTRK3
IGF1R	NTRK3
NCAM1	NTRK3
SLITRK5	NTRK3
NTRK2	NTRK3
ENG	NTRK3
CDNF	NTRK3
NRCAM	NTRK3
SEMA6A	NTRK3
ANXA6	NTRK3
CD86	NTRK3
TIE1	TNFRSF17
LY9	TNFRSF17
IgG	TNFRSF17
DSG2	TNFRSF17
SLAMF7	TNFRSF17
laminin	DCN
EDA2R	DCN
BGN	DCN
RPS27A-UbB	CAPN1
RAC1	CAPN1
IFNG	CAPN1
PTPN11	CAPN1
PRKACA	CAPN1
RPS6KA3	CAPN1
XPNPEP1	CAPN1
CASP3	CAPN1
PPIA	CAPN1
MDH1	CAPN1
PRDX1	CAPN1
PSMA6	CAPN1
SBDS	CAPN1
TPT1	CAPN1
UBE2L3	CAPN1
EEF1B2	CAPN1
EIF5A	CAPN1
KPNB1	CAPN1
PDXP	CAPN1
UBE2N	CAPN1
14-3-3	CAPN1
AKR7A2	CAPN1
AKR1A1	CAPN1
VTA1	CAPN1
NME2	CAPN1
NAPA	CAPN1
TKT	CAPN1
TPI1	CAPN1
RPS27A	CAPN1
