ZAP70	HMGB1
CLU	HMGB1
ADCYAP1-27	HMGB1
HSD17B1	HMGB1
PPIB	HMGB1
PDIA3	HMGB1
SMPDL3A	HMGB1
SFN	HMGB1
MAP3K7	HMGB1
E7_HPV18	TNFRSF11B
LTBR	TNFRSF11B
IL1F7	TNFRSF11B
CD97	TNFRSF11B
ARG1	TNFRSF11B
CA4	TNFRSF11B
KLK12	TNFRSF11B
FOLH1	TNFRSF11B
CA10	TNFRSF11B
CDK5	TNFRSF11B
CDK8	TNFRSF11B
PPP3R1	TNFRSF11B
TPO	TNFRSF11B
SYNCRIP	TNFRSF11B
TPM2	TNFRSF11B
RB1	TNFRSF11B
GFAP	POMC-be
AURKA	POMC-be
IFNGR1	POMC-be
NGF	POMC-be
ARPP19	POMC-be
CA2	POMC-be
HNRNPK	POMC-be
JAG2	POMC-be
KLRF1	POMC-be
NRXN1	POMC-be
MRC1	CFI
C3B-inac	CFI
SERPINA3	CFI
C9	CFI
CFB	CFI
CFH	CFI
CRP	CFI
LEP	IGFBP2
MMP3	IGFBP2
GHR	IGFBP2
ASAH2	IGFBP2
UNC5C	IGFBP2
IGF1	IGFBP3
PRL	LEP
MMP3	LEP
GHR	LEP
RELT	LEP
IL17RA	CCL2
IDS	CCL2
PAK3	CCL2
IgG	CCL2
NRXN1	CCL2
F9ab	CCL2
MPO	MMP9
TNFRSF1A	MMP9
HGF	MMP9
AZU1	MMP9
LTF	MMP9
ALPL	MMP9
LCN2	MMP9
RETN	MMP9
SFRP1	MMP9
DLL4	MMP9
PGLYRP1	MMP9
PRTN3	MMP9
OLR1	MMP9
BPI	MMP9
LIFR	MMP9
TNFSF14	MMP9
AZU1	MPO
LTF	MPO
ALPL	MPO
LCN2	MPO
RETN	MPO
DLL4	MPO
PGLYRP1	MPO
PRTN3	MPO
OLR1	MPO
BPI	MPO
LIFR	MPO
ICOSLG	MPO
IMPDH1	MPO
PDE5A	MPO
ELANE	MPO
S100A9	MPO
TNFSF14	MPO
MMP3	PRL
KLK3	PRL
CNTFR	ROR1
NBL1	ROR1
LSAMP	ROR1
TGFBR3	ROR1
CST6	ROR1
MATN2	ROR1
RGMB	ROR1
HFE2	ROR1
CD55	ROR1
EPHB6	ROR1
NRXN3	ROR1
UNC5C	ROR1
TNFRSF21	ROR1
VEGFA-iso121	VEGFA
TYRO3	TNFRSF9
ICAM3	TNFRSF9
ARG1	TNFRSF9
ACAN	TNFRSF9
PLK1	TNFRSF9
CST5	TNFRSF9
ASGR1	TNFSF9
RSPO2	TNFSF9
ADAM12	ANGPT2
CHST15	ANGPT2
MST1R	CD80
CSF3R	CD80
ARG1	CD80
CD22	CD80
PAK3	CD80
PRSS27	CD80
RASA1	CD80
CPE	CD80
LAYN	TNFRSF8
PRKCZ	TNFRSF8
MAPT	TNFRSF8
PECAM1	TNFRSF8
MMP17	TNFRSF8
ESR1	TNFRSF8
GAS1	TNFRSF8
IL15RA	TNFRSF8
TGFB3	TNFRSF8
CST6	CST3
RGMB	CST3
B2M	CST3
RELT	CST3
UNC5C	CST3
TNFRSF21	CST3
ICAM3	TYRO3
ACAN	TYRO3
CD109	TYRO3
CST7	TYRO3
HTRA2	TYRO3
CADM1	TYRO3
PLK1	TYRO3
RPS27A-UbB	EIF5
UBE2I	EIF5
PTPN11	EIF5
UFC1	EIF5
RPS6KA3	EIF5
XPNPEP1	EIF5
CASP3	EIF5
UFM1	EIF5
PPIA	EIF5
TPT1	EIF5
ARID3A	EIF5
SNX4	EIF5
UBE2N	EIF5
HSPA1A	EIF5
VTA1	EIF5
EPS15L1	EIF5
EIF4G2	EIF5
NME2	EIF5
NSFL1C	EIF5
PFDN5	EIF5
TKT	EIF5
TPI1	EIF5
PTPN6	EIF5
RPS27A	EIF5
GSTP1	EIF5
CRK	EIF5
MSN	EIF5
SHC1	EIF5
EFNA5	EFNA4
CNTFR	EFNA4
BCAM	EFNA4
NBL1	EFNA4
TNFSF15	EFNA4
PDCD1LG2	EFNA4
IL18BP	EFNA4
LRIG3	EFNA4
CADM1	EFNA4
INSR	EFNA4
TEC	EFNA4
MFRP	EFNA4
CAMKK1	EFNA4
TF	EFNA4
IGF1R	EFNA4
C3B	EFNA4
EPHA2	EFNA4
CDNF	EFNA4
EPHB6	EFNA4
CD200	EFNA4
SEMA6A	EFNA4
HAVCR2	EFNA4
UNC5D	EFNA4
CNTFR	EFNA5
BCAM	EFNA5
KLK8	EFNA5
WIF1	EFNA5
NBL1	EFNA5
TNFSF15	EFNA5
IL1R1	EFNA5
PDCD1LG2	EFNA5
TGFBR3	EFNA5
Ck-beta-8-1	EFNA5
IL18BP	EFNA5
LRIG3	EFNA5
CADM1	EFNA5
INSR	EFNA5
POSTN	EFNA5
TEC	EFNA5
MFRP	EFNA5
CAMKK1	EFNA5
IGF1R	EFNA5
LCORL	EFNA5
MFGE8	EFNA5
SLITRK5	EFNA5
EPHA2	EFNA5
ENG	EFNA5
EPHB6	EFNA5
NRCAM	EFNA5
RELT	EFNA5
SEMA6A	EFNA5
UNC5D	EFNA5
ANXA6	EFNA5
EGFR	ERBB3
F10A	ERBB3
C2	ERBB3
SLPI	ERBB3
F10	ERBB3
MAPT	ERBB4
MMP17	ERBB4
CTF1	ERBB4
CD207	ERBB4
CNTF	ERBB4
IL17B	ERBB4
TG	ERBB4
KIRREL3	ERBB4
ANXA6	ERBB4
ADAMTS4	TACSTD2
EGFR	IL6ST
CDH5	IL6ST
MET	IL6ST
CNTN1	IL6ST
TGFBR3	IL6ST
MRC2	IL6ST
MATN2	IL6ST
CFL1	IL6ST
IGF1R	IL6ST
NTRK2	IL6ST
CD163	IL6ST
CD55	IL6ST
GPNMB	IL6ST
JAG1	IL6ST
NOTCH1	IL6ST
ROBO2	IL6ST
ICAM5	IL6ST
TNFRSF21	IL6ST
TBK1	HMOX2
EPO	HMOX2
BMP10	HMOX2
NCR2	E7_HPV16
PPBP-pep2	E7_HPV16
ACVR1B	E7_HPV16
ADAMTS4	E7_HPV16
PCNA	E7_HPV16
MEPE	E7_HPV16
CD207	E7_HPV16
IL17B	E7_HPV16
BMP10	E7_HPV16
PDGFB	E7_HPV16
SYNCRIP	E7_HPV16
PON1	E7_HPV16
LCORL	E7_HPV16
FGF12	E7_HPV16
IL23A	E7_HPV16
PDGFA	E7_HPV16
OLFM4	E7_HPV16
LTBR	E7_HPV18
OSM	E7_HPV18
TNFSF18	E7_HPV18
IL1F7	E7_HPV18
ARG1	E7_HPV18
CD22	E7_HPV18
WISP1	E7_HPV18
ARSB	E7_HPV18
CA4	E7_HPV18
CTSD	E7_HPV18
KLK12	E7_HPV18
FOLH1	E7_HPV18
SEMA3A	E7_HPV18
TBK1	E7_HPV18
FLT3	E7_HPV18
BIRC5	E7_HPV18
NTRK1	E7_HPV18
CDH6	E7_HPV18
MASP1	E7_HPV18
EPHB4	E7_HPV18
LGMN	E7_HPV18
PRSS27	E7_HPV18
CDC42BPB	E7_HPV18
OPCML	E7_HPV18
RBP4	E7_HPV18
DKKL1	E7_HPV18
PPP3R1	E7_HPV18
COLEC12	E7_HPV18
KLK14	E7_HPV18
IL5	E7_HPV18
TPO	E7_HPV18
SYNCRIP	E7_HPV18
DYRK3	E7_HPV18
SPHK2	E7_HPV18
TPM2	E7_HPV18
APOD	E7_HPV18
CMPK1	E7_HPV18
AGR2	E7_HPV18
RB1	E7_HPV18
PDE2A	E7_HPV18
STK17B	E7_HPV18
ABL2	E7_HPV18
CDH15	E7_HPV18
TNFRSF11A	E7_HPV18
GDI2	HSP90AA1
CAPN1	HSP90AA1
RPS27A-UbB	HSP90AA1
MAPK3	HSP90AA1
RAC1	HSP90AA1
UBE2I	HSP90AA1
PRKCI	HSP90AA1
PTPN11	HSP90AA1
PRKACA	HSP90AA1
RPS6KA3	HSP90AA1
XPNPEP1	HSP90AA1
CASP3	HSP90AA1
MDH1	HSP90AA1
ARID3A	HSP90AA1
EEF1B2	HSP90AA1
NAGK	HSP90AA1
UBE2N	HSP90AA1
AKR7A2	HSP90AA1
AKR1A1	HSP90AA1
NME2	HSP90AA1
PFDN5	HSP90AA1
GPI	HSP90AA1
TKT	HSP90AA1
TPI1	HSP90AA1
MAPK14	HSP90AA1
CSNK2A1-2B	HSP90AA1
HNRNPA2B1	HSP90AA1
MAPK1	IL10RB
CA4	IL10RB
PAK3	IL10RB
IFNA2	IL10RB
FGF18	IL12RB1
XRCC6	IL12RB1
IL24	IL12RB1
GZMH	IL12RB1
IL17D	IL12RB1
FCRL3	IL12RB1
GDI2	IL2RG
ULBP3	IL2RG
SOD1	IL2RG
RPS27A-UbB	IL2RG
EHMT2	IL2RG
AREG	IL2RG
IFNG	IL2RG
JAM3	IL2RG
FTH1	IL2RG
KREMEN2	IL2RG
XPNPEP1	IL2RG
CAT	IL2RG
VIP	IL2RG
MDH1	IL2RG
NACA	IL2RG
PRDX1	IL2RG
PSMA6	IL2RG
RPS6KA5	IL2RG
SBDS	IL2RG
SEZ6L2	IL2RG
UBE2L3	IL2RG
EEF1B2	IL2RG
EIF5A	IL2RG
KPNB1	IL2RG
PDXP	IL2RG
PSMD7	IL2RG
UBE2N	IL2RG
NME2	IL2RG
TPI1	IL2RG
INHBB	IL2RG
DHH	IL2RG
FGF16	IL2RG
FGF8-isoA	IL2RG
IL29	IL2RG
RPS27A	IL2RG
FGF7	IL2RG
IL3RA	IL2RG
FLRT1	IL2RG
EPB41	IL2RG
HBA1	IL2RG
CA1	IL2RG
PSME1	IL2RG
ADSL	IL2RG
CSNK2A1-2B	IL2RG
CSNK2A2-2B	IL2RG
PPIE	IL2RG
STIP1	IL2RG
PRKCZ	LAYN
MAPT	LAYN
PECAM1	LAYN
MMP17	LAYN
ESR1	LAYN
GAS1	LAYN
EPO	LAYN
CSF1	LAYN
H2AFZ	LAYN
CHST2	LAYN
ENTPD3	LAYN
OSM	LTBR
TNFSF18	LTBR
IL1F7	LTBR
CCL1	LTBR
AIF1	LTBR
DSG1	LTBR
JAM2	LTBR
ARSB	LTBR
ENTPD1	LTBR
KLK12	LTBR
FOLH1	LTBR
CA10	LTBR
FCN2	LTBR
PIK3CG	LTBR
STAB2	LTBR
CAMK1D	LTBR
FLT3	LTBR
KLK6	LTBR
STK16	LTBR
