gene1	gene2
HBEGF	Rev_HV2BE
ENTPD3	Rev_HV2BE
SIGLEC1	Rev_HV2BE
CRTAM	Rev_HV2BE
AIF1	CCL1
HDAC8	CCL1
DSG1	CCL1
JAM2	CCL1
ENTPD1	CCL1
KLK12	CCL1
FOLH1	CCL1
FCN2	CCL1
PIK3CG	CCL1
STAB2	CCL1
CAMK1D	CCL1
FLT3	CCL1
KLK6	CCL1
STK16	CCL1
BSG	CCL1
EPHB4	CCL1
CDC42BPB	CCL1
CD84	CCL1
PPP3R1	CCL1
COLEC12	CCL1
KLK14	CCL1
DAPK2	CCL1
DYRK3	CCL1
ZAP70	CCL1
CLU	CCL1
ADCYAP1-27	CCL1
HSD17B1	CCL1
APOD	CCL1
SMPDL3A	CCL1
CMPK1	CCL1
PRLR	CCL1
MAP3K7	CCL1
CDH15	CCL1
CCL8	IL10
HBEGF	IL10
SIGLEC1	IL10
CCL19	IL10
XRCC6	IL16
TOP1	IL16
RPS6KA3	IL16
ITGA1	IL16
RPS7	IL16
ARID3A	IL16
HSPA1A	IL16
GPI	IL16
RBM39	IL16
PTPN6	IL16
SFTPD	IL16
HDGFRP2	IL16
ANXA1	IL16
CAPG	IL16
MAPK14	IL16
IMPDH1	IL16
HNRNPA2B1	IL16
NTF3	IL17F
ROBO3	IL17F
SLAMF6	IL17F
CCL4L1	LTF
ALPL	LTF
LCN2	LTF
RETN	LTF
DLL4	LTF
PGLYRP1	LTF
PRTN3	LTF
OLR1	LTF
BPI	LTF
LIFR	LTF
ICOSLG	LTF
TNFSF14	LTF
CCL3	CCL4L1
IL8	CCL4L1
DUSP3	CCL4L1
EPS15L1	CCL4L1
IL6	CCL4L1
CCL7	CCL4L1
CCL3	CCL3L1
CCL18	CCL3L1
PCNA	CCL8
FGF1	CCL8
IL17B	CCL8
HBEGF	CCL8
SIGLEC1	CCL8
CCL7	CCL8
CRTAM	CCL8
MB	MMP3
TFPI	MMP3
IL1RL1	MMP3
ANGPT1	PPBP-pep2
SERPINE1	PPBP-pep2
SPARC	PPBP-pep2
APP	PPBP-pep2
DKK4	PPBP-pep2
DKK1	PPBP-pep2
MAPKAPK5	PPBP-pep2
PDGFB	PPBP-pep2
EIF4EBP2	PPBP-pep2
PDGFA	PPBP-pep2
PPBP-pep3	PPBP-pep2
RPS27A-UbB	SOD1
AREG	SOD1
IFNG	SOD1
FTH1	SOD1
KREMEN2	SOD1
BCL2	SOD1
CAT	SOD1
DNAJB1	SOD1
PSMA6	SOD1
SBDS	SOD1
UBE2L3	SOD1
CAMKK1	SOD1
EEF1B2	SOD1
INHBB	SOD1
DHH	SOD1
FGF16	SOD1
IL29	SOD1
LCN2	ALPL
RETN	ALPL
PGLYRP1	ALPL
PRTN3	ALPL
OLR1	ALPL
BPI	ALPL
IL6	ALPL
LIFR	ALPL
ELANE	ALPL
TNFSF14	ALPL
FGG	FGA
A2M	APOB
ADAMTS4	ACVR1B
CD207	ACVR1B
PON1	ACVR1B
PCNA	ADAMTS4
IL18RAP	ADAMTS4
HCK	ADAMTS4
IL17B	ADAMTS4
PON1	ADAMTS4
SERPINE1	ANGPT1
ESAM	ANGPT1
SPARC	ANGPT1
APP	ANGPT1
CNDP2	ANGPT1
NID1	ANGPT1
DKK4	ANGPT1
MPL	ANGPT1
THBS1	ANGPT1
DKK1	ANGPT1
NID2	ANGPT1
EIF4EBP2	ANGPT1
PDGFA	ANGPT1
PPBP-pep3	ANGPT1
CDH5	BCAM
IL1R1	BCAM
CD109	BCAM
IL24	BCAM
LRIG3	BCAM
CADM1	BCAM
IGF1R	BCAM
ADAMTS15	BCAM
SLITRK5	BCAM
EPHA2	BCAM
ENG	BCAM
NRCAM	BCAM
SEMA6A	BCAM
TIE1	CDH5
BMP7	CDH5
A2M	CDH5
ENG	CDH5
JAG1	CDH5
NOTCH1	CDH5
ROBO2	CDH5
ARG1	CD97
CHEK1	CD97
CA4	CD97
CA10	CD97
CDK8	CD97
TPM2	CD97
GOT1	COMMD7
UCHL1	COMMD7
CKAP2	COMMD7
CA4	CX3CL1
PAK3	CX3CL1
KLK8	SPINT1
CST6	SPINT1
DDC	IL27
PTPN2	KLK11
CD4	KLK4
PRSS7	KLK4
ANGPTL3	KLK4
ABL1	KLK4
NBL1	KLK8
CST6	KLK8
CADM1	KLK8
IGF1R	KLK8
EPHA2	KLK8
CDNF	KLK8
TBP	XRCC6
TOP1	XRCC6
ADRBK1	XRCC6
CMA1	XRCC6
PTGS2	XRCC6
RPS7	XRCC6
NAGK	XRCC6
PGD	XRCC6
PKM2	XRCC6
SFTPD	XRCC6
HNRNPAB	XRCC6
HDGFRP2	XRCC6
HNRNPA2B1	XRCC6
RETN	LCN2
PGLYRP1	LCN2
PRTN3	LCN2
OLR1	LCN2
BPI	LCN2
LIFR	LCN2
TNFSF14	LCN2
NOTCH1	MET
KAT6A	MMP17
ESR1	MMP17
GAS1	MMP17
SERPINE2	MMP17
FCGR1A	MMP17
BCL2	MMP17
EPO	MMP17
TGFB3	MMP17
CDH12	MMP17
MMP10	MMP17
DMP1	MMP17
CCL13	MMP17
H2AFZ	MMP17
MDM2	MMP17
ENTPD3	MMP17
GREM1	MMP17
ANXA6	MMP17
PRSS7	TNFSF4
BCL2A1	FRZB
SLAMF6	ICAM2
GP6	SPINT2
DUSP3	SPINT2
FYN	SPINT2
SELP	SPINT2
CLEC1B	SPINT2
TNFSF14	SPINT2
CD209	TIE1
UBE2I	RPS27A-UbB
AREG	RPS27A-UbB
IFNG	RPS27A-UbB
JAM3	RPS27A-UbB
KREMEN2	RPS27A-UbB
PRKCI	RPS27A-UbB
PTPN11	RPS27A-UbB
RPS6KA3	RPS27A-UbB
CAT	RPS27A-UbB
UFM1	RPS27A-UbB
PPIA	RPS27A-UbB
MDH1	RPS27A-UbB
PSMA6	RPS27A-UbB
RPS6KA5	RPS27A-UbB
SBDS	RPS27A-UbB
TPT1	RPS27A-UbB
UBE2L3	RPS27A-UbB
ARID3A	RPS27A-UbB
EEF1B2	RPS27A-UbB
EIF5A	RPS27A-UbB
PDXP	RPS27A-UbB
UBE2N	RPS27A-UbB
AKR1A1	RPS27A-UbB
VTA1	RPS27A-UbB
NME2	RPS27A-UbB
NSFL1C	RPS27A-UbB
PFDN5	RPS27A-UbB
NAPA	RPS27A-UbB
TKT	RPS27A-UbB
TPI1	RPS27A-UbB
INHBB	RPS27A-UbB
DHH	RPS27A-UbB
FGF16	RPS27A-UbB
IL29	RPS27A-UbB
RPS27A	RPS27A-UbB
GSTP1	RPS27A-UbB
CRK	RPS27A-UbB
CSNK2A1-2B	RPS27A-UbB
PPIE	RPS27A-UbB
STIP1	RPS27A-UbB
EREG	WIF1
IL1RAPL2	WIF1
CD200R1	WIF1
HDAC8	AIF1
KAT6A	AIF1
CTSD	AIF1
KLK12	AIF1
FOLH1	AIF1
PIK3CG	AIF1
None	AIF1
STAB2	AIF1
CAMK1D	AIF1
KLK6	AIF1
BSG	AIF1
CD84	AIF1
CFL1	AIF1
SYNCRIP	AIF1
DAPK2	AIF1
ZAP70	AIF1
CLU	AIF1
PDIA3	AIF1
IMPDH2	AIF1
CA4	ARG1
AURKB	ARG1
PAK3	ARG1
BIRC5	ARG1
OPCML	ARG1
SPHK2	ARG1
TPM2	ARG1
TNFRSF10A	ARG1
AGR2	ARG1
RB1	ARG1
PTPN1	C5A
SERPINF2	C5A
CAST	C5A
CLEC4M	C5A
BCL2A1	C5A
DDR2	C5A
TLR2	C5A
C5B-C6	C5A
GOT1	C5A
C1QBP	C5A
GPC5	C5A
SCGB2A1	C5A
UCHL1	C5A
SIRT2	C5A
PDE4D	C5A
CASP10	C5A
CKAP2	C5A
SPOCK1	C5A
CDK8	CHEK1
MAPKAPK5	CHEK1
RAC1	MAPK3
MAPK1	MAPK3
ADRBK1	MAPK3
CAMK2B	MAPK3
CSK	MAPK3
LYN-isoB	MAPK3
GSK3A	MAPK3
LYN	MAPK3
PRKACA	MAPK3
RPS6KA3	MAPK3
XPNPEP1	MAPK3
RPS7	MAPK3
KPNB1	MAPK3
NAGK	MAPK3
14-3-3	MAPK3
AKR7A2	MAPK3
AKR1A1	MAPK3
PKM2	MAPK3
PEBP1	MAPK3
RAN	MAPK3
NAPA	MAPK3
SPHK1	MAPK3
HNRNPAB	MAPK3
MAPK14	MAPK3
NAMPT	MAPK3
PRKCB	MAPK3
SRC	MAPK3
HCK	NR3C1
TBK1	NR3C1
TNF	NR3C1
BIRC7	NR3C1
SERPINA6	NR3C1
CD274	NR3C1
IL20RA	NR3C1
TSLP	HAT1
GFAP	HAT1
CNDP2	HAT1
BMX	HAT1
TNFRSF18	HAT1
JAM2	HDAC8
ARSB	HDAC8
CTSD	HDAC8
ENTPD1	HDAC8
KLK12	HDAC8
FOLH1	HDAC8
PIK3CG	HDAC8
STAB2	HDAC8
CAMK1D	HDAC8
FLT3	HDAC8
STK16	HDAC8
MASP1	HDAC8
EPHB4	HDAC8
MMEL1	HDAC8
CDC42BPB	HDAC8
CADM3	HDAC8
RBP4	HDAC8
CD84	HDAC8
COLEC12	HDAC8
KLK14	HDAC8
IL5	HDAC8
DAPK2	HDAC8
DYRK3	HDAC8
ZAP70	HDAC8
CLU	HDAC8
ADCYAP1-27	HDAC8
HSD17B1	HDAC8
APOD	HDAC8
PPIB	HDAC8
SMPDL3A	HDAC8
SFN	HDAC8
STK17B	HDAC8
PDE11A	HDAC8
PDE3A	HDAC8
MAP3K7	HDAC8
ABL2	HDAC8
BCAR3	HDAC8
CALR	HDAC8
CDH15	HDAC8
TNFRSF11A	HDAC8
CLEC7A	KPNA2
PRLR	KPNA2
CD207	MAP2K1
MATN3	KAT6A
BSG	KAT6A
ENTPD3	KAT6A
RASA1	KAT6A
CLU	KAT6A
LTA	KAT6A
MAPK1	RAC1
METAP2	RAC1
ADRBK1	RAC1
CSK	RAC1
PRKCI	RAC1
LYN-isoB	RAC1
GSK3A	RAC1
LYN	RAC1
PRKACA	RAC1
RPS6KA3	RAC1
SGTA	RAC1
EIF5A	RAC1
KPNB1	RAC1
NAGK	RAC1
AKR7A2	RAC1
PKM2	RAC1
NME2	RAC1
PEBP1	RAC1
RAN	RAC1
NAPA	RAC1
SPHK1	RAC1
PRKAA2	RAC1
PRKCB	RAC1
SRC	RAC1
STIP1	RAC1
TEK	RAD51
RAN	RAD51
ATP5B	RAD51
PLCG1	TBP
UBE2I	TOP1
HIST1H1C	TOP1
ADRBK1	TOP1
ITGA1	TOP1
RPS7	TOP1
GPI	TOP1
RBM39	TOP1
PTPN6	TOP1
SFTPD	TOP1
HDGFRP2	TOP1
GSTP1	TOP1
ANXA1	TOP1
CAPG	TOP1
MAPK14	TOP1
HNRNPA2B1	TOP1
HIST1H1C	UBE2I
METAP1	UBE2I
CAMK2A	UBE2I
CAMK2B	UBE2I
CSK	UBE2I
PTPN11	UBE2I
UFC1	UBE2I
BTK	UBE2I
CAMK2D	UBE2I
CA13	UBE2I
RPS6KA3	UBE2I
CASP3	UBE2I
UFM1	UBE2I
PPIA	UBE2I
TPT1	UBE2I
ARID3A	UBE2I
SNX4	UBE2I
UBE2N	UBE2I
14-3-3	UBE2I
VTA1	UBE2I
EPS15L1	UBE2I
FER	UBE2I
EIF4G2	UBE2I
NME2	UBE2I
NSFL1C	UBE2I
GPI	UBE2I
RBM39	UBE2I
TKT	UBE2I
TPI1	UBE2I
PTPN6	UBE2I
PDPK1	UBE2I
RPS27A	UBE2I
GSTP1	UBE2I
ANXA1	UBE2I
CAPG	UBE2I
CRK	UBE2I
MAPK14	UBE2I
MSN	UBE2I
ICOSLG	UBE2I
SHC1	UBE2I
HNRNPA2B1	UBE2I
EHMT2	YES1
CDK8	YES1
AIP	YES1
SYNCRIP	YES1
DCTPP1	YES1
PLCG1	YES1
NMT1	YES1
C9	SERPINA3
CFH	SERPINA3
TF	SERPINA3
BCL2	CTF1
CDH12	CTF1
BIRC5	CD22
RBP4	CD22
TPO	CD22
ENTPD3	CD22
AGR2	CD22
CXCL5	CCL14
CXCL1	CCL14
CXCL6	CCL14
DSG1	IL4
LGALS4	IL4
JAM2	IL4
FCER2	IL4
CDC2	IL4
KLK6	IL4
KYNU	IL4
ESD	IL4
TGFBR2	IL4
PTN	MDK
IL2	MDK
SFRP1	MDK
MED1	MDK
F9	MDK
F9ab	MDK
Ck-beta-8-1	CCL23
LGALS4	PCNA
ICOS	PCNA
IL18RAP	PCNA
NCR3	PCNA
CNTF	PCNA
IL17B	PCNA
EIF4EBP2	PCNA
IL23A	PCNA
WNT7A	PCNA
POMC-cort	PCNA
ARPP19	PCNA
ESAM	SERPINE1
SPARC	SERPINE1
NID1	SERPINE1
DKK4	SERPINE1
DKK1	SERPINE1
NID2	SERPINE1
PDGFB	SERPINE1
PDGFA	SERPINE1
PPBP-pep3	SERPINE1
APOE-isoE4	APOE-isoE3
APOE-isoE2	APOE-isoE3
BMP1	APOE-isoE4
APOE-isoE2	APOE-isoE4
SPOCK1	CYCS
IL17D	CYP3A4
CFL1	CYP3A4
PLA2G7	CYP3A4
MRC2	NBL1
CADM1	NBL1
EPHA5	NBL1
SLITRK5	NBL1
EPHA2	NBL1
CD55	NBL1
EPHB6	NBL1
HAVCR2	NBL1
UNC5D	NBL1
TNFRSF21	NBL1
HIST1H1C	ESR1
GAS1	ESR1
FCGR1A	ESR1
BCL2	ESR1
EPO	ESR1
TGFB3	ESR1
CDH12	ESR1
CCL13	ESR1
H2AFZ	ESR1
CTSD	CFD
LYVE1	CFD
SERPINA5	CFD
RBP4	CFD
TPM2	CFD
PLA2G7	CFD
ASAH2	GHR
RET	GHR
BMP1	GHR
FETUB	GHR
CNDP1	GHR
AFM	GHR
RTN4R	GHR
PRSS7	PLA2G10
MBD4	PLA2G10
SERPINF2	IGFBP4
CFC1	IGFBP4
FN1-frag3	IGFBP4
FN1-frag4	IGFBP4
CXCL13	IGFBP4
MST1	IGFBP4
C4	IGFBP4
PRSS22	IGFBP4
ITIH4	IGFBP4
C3A	IGFBP4
PRDX6	IGFBP4
LAG3	IGFBP4
AHSG	IGF1
CGA-FSHB	CGA-LHB
HIV	MMP8
IFNG	EHMT2
JAM3	EHMT2
AIP	EHMT2
RPS6KA5	EHMT2
PDXP	EHMT2
DHH	EHMT2
IL29	EHMT2
CSNK2A1-2B	EHMT2
CDK8	CFP
ASGR1	CFP
C6	CFP
PGD	CFP
C4	CFP
ARPP19	CFP
AK1	CFP
MAPK9	CFP
CLEC11A	CLEC11B
CXCL5	VCAM1
IL18BP	VCAM1
TNFRSF1B	VCAM1
UNC5C	VCAM1
IL1R1	TNFSF15
TEK	TNFSF15
SLITRK5	TNFSF15
EPHA2	TNFSF15
EPHA1	ACVRL1
IL20RA	ACVRL1
IFNG	AREG
JAM3	AREG
TSLP	AREG
FTH1	AREG
KREMEN2	AREG
CAT	AREG
VIP	AREG
CA3	AREG
MDH1	AREG
PRDX1	AREG
PSMA6	AREG
RPS6KA5	AREG
SBDS	AREG
SEZ6L2	AREG
UBE2L3	AREG
EEF1B2	AREG
EIF5A	AREG
KPNB1	AREG
PDXP	AREG
PSMD7	AREG
UBE2N	AREG
NME2	AREG
TKT	AREG
INHBB	AREG
DHH	AREG
FGF16	AREG
FGF8-isoA	AREG
IL29	AREG
RPS27A	AREG
FGF7	AREG
IL3RA	AREG
FLRT1	AREG
EPB41	AREG
HBA1	AREG
CA1	AREG
PRDX6	AREG
ADSL	AREG
CSNK2A1-2B	AREG
PPIE	AREG
MRC2	BMP7
HTRA2	BMP7
INSR	BMP7
IGF1R	BMP7
NTRK2	BMP7
ENG	BMP7
GP6	CD36
ITGA2B	CD36
LSAMP	CNTN1
MRC2	CNTN1
CNTN4	CNTN1
MATN2	CNTN1
CHL1	CNTN1
DKK3	CNTN1
A2M	CNTN1
MMP2	CNTN1
NCAM1	CNTN1
NTRK2	CNTN1
NOTCH1	CNTN1
ROBO2	CNTN1
ANXA6	CNTN1
ALCAM	CNTN1
SCARB2	CTGF
CXCL1	DSG1
JAM2	DSG1
CTSD	DSG1
ENTPD1	DSG1
KLK12	DSG1
LYVE1	DSG1
FOLH1	DSG1
PIK3CG	DSG1
STAB2	DSG1
CAMK1D	DSG1
Lymphotoxin-a2b1	DSG1
DAPK2	DSG1
RASA1	DSG1
ZAP70	DSG1
CLU	DSG1
ADCYAP1-27	DSG1
PPIB	DSG1
SMPDL3A	DSG1
MAP3K7	DSG1
TNFRSF11A	DSG1
GP6	EDAR
BTK	EDAR
CA13	EDAR
LYN	EDAR
DUSP3	EDAR
FYN	EDAR
PPIA	EDAR
PDPK1	EDAR
CXCL1	CXCL5
CXCL3	CXCL5
CXCL11	CXCL5
BCAN	CXCL5
CXCL6	CXCL5
SYNCRIP	ESAM
PDGFA	ESAM
ICOS	LGALS4
NCR3	LGALS4
TSLP	LGALS4
UBE2L3	LGALS4
PDE11A	LGALS4
CXCL3	CXCL1
PIK3CG	CXCL1
BSG	CXCL1
CXCL6	CXCL3
EPO	HIST1H1C
RPS7	HIST1H1C
H2AFZ	HIST1H1C
RBM39	HIST1H1C
SFTPD	HIST1H1C
HDGFRP2	HIST1H1C
ANXA1	HIST1H1C
CAPG	HIST1H1C
ICOSLG	HIST1H1C
HNRNPA2B1	HIST1H1C
NCR3	ICOS
JAM3	IFNG
FTH1	IFNG
KREMEN2	IFNG
CAT	IFNG
VIP	IFNG
CA3	IFNG
MDH1	IFNG
PRDX1	IFNG
PSMA6	IFNG
RPS6KA5	IFNG
SBDS	IFNG
SEZ6L2	IFNG
UBE2L3	IFNG
EEF1B2	IFNG
EIF5A	IFNG
KPNB1	IFNG
PDXP	IFNG
PSMD7	IFNG
UBE2N	IFNG
NME2	IFNG
TKT	IFNG
TPI1	IFNG
INHBB	IFNG
DHH	IFNG
FGF16	IFNG
FGF8-isoA	IFNG
IL29	IFNG
RPS27A	IFNG
FGF7	IFNG
IL3RA	IFNG
EPB41	IFNG
HBA1	IFNG
CA1	IFNG
PRDX6	IFNG
ADSL	IFNG
CSNK2A1-2B	IFNG
PPIE	IFNG
PDCD1LG2	IL1R1
IL18BP	IL1R1
WFIKKN2	IL1R1
CD109	IL1R1
LRIG3	IL1R1
CADM1	IL1R1
INSR	IL1R1
IGF1R	IL1R1
C3B	IL1R1
SLITRK5	IL1R1
EPHA2	IL1R1
GDF2	IL1R1
ENG	IL1R1
SEMA6A	IL1R1
UNC5D	IL1R1
ANXA6	IL1R1
TNFRSF18	IL18RAP
EPHA3	IL1RL2
CHST2	IL1RL2
AMICA1	IL1RL2
CPE	IL1RL2
ARSB	JAM2
CTSD	JAM2
ENTPD1	JAM2
FOLH1	JAM2
PIK3CG	JAM2
STAB2	JAM2
FLT3	JAM2
STK16	JAM2
CDH6	JAM2
MASP1	JAM2
EPHB4	JAM2
CDC42BPB	JAM2
CADM3	JAM2
OPCML	JAM2
OCIAD1	JAM2
RBP4	JAM2
CD84	JAM2
TLR4	JAM2
COLEC12	JAM2
KLK14	JAM2
IL5	JAM2
ETHE1	JAM2
DAPK2	JAM2
DYRK3	JAM2
ZAP70	JAM2
ADCYAP1-27	JAM2
HSD17B1	JAM2
APOD	JAM2
PPIB	JAM2
SFN	JAM2
IL1RAPL2	JAM2
PRLR	JAM2
STK17B	JAM2
PDE11A	JAM2
PDE3A	JAM2
MAP3K7	JAM2
ABL2	JAM2
BCAR3	JAM2
CALR	JAM2
TNFRSF13C	JAM2
TNFRSF11A	JAM2
TSLP	JAM3
FTH1	JAM3
KREMEN2	JAM3
CAT	JAM3
VIP	JAM3
CA3	JAM3
MDH1	JAM3
PRDX1	JAM3
PSMA6	JAM3
RPS6KA5	JAM3
SBDS	JAM3
SEZ6L2	JAM3
UBE2L3	JAM3
EEF1B2	JAM3
EIF5A	JAM3
KPNB1	JAM3
PDXP	JAM3
PSMD7	JAM3
TKT	JAM3
INHBB	JAM3
DHH	JAM3
FGF16	JAM3
IL29	JAM3
FGF7	JAM3
IL3RA	JAM3
FLRT1	JAM3
HBA1	JAM3
CA1	JAM3
ADSL	JAM3
CSNK2A1-2B	JAM3
PPIE	JAM3
MATN2	LSAMP
CADM1	LSAMP
HFE2	LSAMP
DKK3	LSAMP
SLITRK5	LSAMP
EPHB2	LSAMP
EPHB6	LSAMP
NRXN3	LSAMP
UNC5D	LSAMP
TNFRSF21	LSAMP
ALCAM	LSAMP
IL18BP	PDCD1LG2
CD109	PDCD1LG2
CADM1	PDCD1LG2
TEK	PDCD1LG2
SLITRK5	PDCD1LG2
EPHA2	PDCD1LG2
CD200	PDCD1LG2
SEMA6A	PDCD1LG2
UNC5D	PDCD1LG2
SERPINF2	PTPN1
CAST	PTPN1
CLEC4M	PTPN1
FASLG	PTPN1
SERPINC1	PTPN1
PAK7	PTPN1
BCL2A1	PTPN1
DDR2	PTPN1
TLR2	PTPN1
DDR1	PTPN1
C5B-C6	PTPN1
HPGD	PTPN1
PARK7	PTPN1
UCHL1	PTPN1
SIRT2	PTPN1
SCARF2	PTPN1
PDE4D	PTPN1
CKAP2	PTPN1
PTK6	SIGLEC9
HIV	SIGLEC9
CST6	TGFBR3
RGMB	TGFBR3
HFE2	TGFBR3
FSTL3	TGFBR3
CD55	TGFBR3
EPHB6	TGFBR3
NOTCH1	TGFBR3
NRXN3	TGFBR3
UNC5C	TGFBR3
TNFRSF21	TGFBR3
CAMKK1	TSLP
DHH	TSLP
TNF	CTLA4
SCT	CTLA4
PTEN	CTLA4
SERPINA6	CTLA4
CD274	CTLA4
CLEC4M	SERPINF2
GFRA1	SERPINF2
SERPINC1	SERPINF2
SPARCL1	SERPINF2
GOT1	SERPINF2
FGFR4	SERPINF2
GPC5	SERPINF2
CASP10	SERPINF2
CLEC4M	CAST
FASLG	CAST
PAK7	CAST
BCL2A1	CAST
DDR2	CAST
TLR2	CAST
DDR1	CAST
C5B-C6	CAST
GOT1	CAST
HPGD	CAST
PARK7	CAST
UCHL1	CAST
SIRT2	CAST
SCARF2	CAST
IL18BP	Ck-beta-8-1
VWF	CD209
FASLG	CLEC4M
PAK7	CLEC4M
BCL2A1	CLEC4M
AGT	CLEC4M
DDR2	CLEC4M
TLR2	CLEC4M
LCMT1	CLEC4M
PSMA2	CLEC4M
RPSA	CLEC4M
C1QBP	CLEC4M
HPGD	CLEC4M
SCGB2A1	CLEC4M
UCHL1	CLEC4M
PGK1	CLEC4M
SIRT2	CLEC4M
PDE4D	CLEC4M
CASP10	CLEC4M
CKAP2	CLEC4M
KREMEN2	FTH1
CAT	FTH1
PSMA6	FTH1
SBDS	FTH1
UBE2L3	FTH1
EEF1B2	FTH1
EIF5A	FTH1
PDXP	FTH1
INHBB	FTH1
FGF16	FTH1
IL29	FTH1
EPB41	FTH1
CA1	FTH1
PRDX6	FTH1
ADSL	FTH1
CSNK2A1-2B	FTH1
PPIE	FTH1
FETUB	CGA-FSHB
SHBG	CGA-FSHB
DDX19B	LGALS2
MATK	LGALS2
FLT3LG	GFAP
BMX	GFAP
PAK6	GFAP
NR1D1	GFAP
MMP2	IL19
COLEC11	IL19
DSC3	IL19
NOTCH1	IL19
SERPINA1	IL1B
BSG	IL1B
HBEGF	IL1B
PPIB	IL1B
PDE5A	IL1B
CXCL6	CXCL11
CXCL12	CXCL11
CXCL10	CXCL11
ICAM5	CXCL11
CCL18	CCL3
IL6	CCL3
RET	MRC2
CCDC80	MRC2
CNTN4	MRC2
MATN2	MRC2
RGMB	MRC2
THBS4	MRC2
CA6	MRC2
CHL1	MRC2
MMP2	MRC2
IGF1R	MRC2
L1CAM	MRC2
CDON	MRC2
EMR2	MRC2
GSN	MRC2
NTRK2	MRC2
FAP	MRC2
ROBO2	MRC2
OMD	MRC2
RGMB	MB
FABP3	MB
CDNF	MB
APP	SPARC
THBS1	SPARC
CLEC1B	SPARC
PDGFA	SPARC
PPBP-pep3	SPARC
IL2	PTN
SFRP1	PTN
F9	PTN
F9ab	PTN
DLL4	RETN
PGLYRP1	RETN
PRTN3	RETN
OLR1	RETN
FCRL3	RETN
LIFR	RETN
IMPDH1	RETN
ELANE	RETN
TNFSF14	RETN
PRSS2	PRSS1
FN1-frag4	VWF
FN1	VWF
PAK7	FASLG
AGT	FASLG
DDR2	FASLG
TLR2	FASLG
DDR1	FASLG
PLA2G1B	FASLG
MMP13	FASLG
HPGD	FASLG
SCGB2A1	FASLG
UCHL1	FASLG
TYMS	FASLG
CKAP2	FASLG
CTSC	FLT3LG
IFNGR1	FLT3LG
MAPKAPK2	FLT3LG
PPID	FLT3LG
SNRPF	FLT3LG
SERPIND1	HP
HBA1	HP
C2	IL4R
PRKCQ	KLRK1
ARSB	WISP1
CTSD	WISP1
FLT3	WISP1
BIRC5	WISP1
CDH6	WISP1
PRSS27	WISP1
CDC42BPB	WISP1
CADM3	WISP1
OPCML	WISP1
RBP4	WISP1
DKKL1	WISP1
TLR4	WISP1
IL5	WISP1
TPM2	WISP1
CMPK1	WISP1
AMH	WISP1
AGR2	WISP1
PDE2A	WISP1
STK17B	WISP1
MAP3K7	WISP1
ABL2	WISP1
BCAR3	WISP1
TNFRSF11A	WISP1
LBP	C9
SERPINA4	C9
CFB	C9
SAA1	C9
CRP	C9
FGG	C9
PRSS22	CTSB
FAM107B	CTSB
ITIH4	CTSB
RASA1	FGF5
PLG	LGALS3
F10	LGALS3
CD5L	IgM
SFRP1	IL2
F9	IL2
ERP29	IL2
F9ab	IL2
DDX19B	IL13
NPPB	IL13
RGMA	IL13
LGALS8	IL13
TNFRSF6B	IL13
JAG2	IL13
PDK1	IL13
TNFRSF1B	IL18BP
CADM1	IL18BP
EPHA2	IL18BP
CD200	IL18BP
HAVCR2	IL18BP
CFB	LBP
CRP	LBP
D-dimer	LBP
F10	F10A
NPPB	PGF
MED1	PGF
FCAR	PGF
PIM1	PGF
TPM1	ULBP1
KIR3DS1	ULBP1
PSME3	ULBP2
TNFRSF18	EDA2R
FCAR	AURKA
CA2	DDX19B
TNFRSF6B	DDX19B
KLRF1	DDX19B
PPID	DDX19B
PRKACA	MAPK1
RPS6KA3	MAPK1
PEBP1	MAPK1
COTL1	DIABLO
AMH	DIABLO
JAK2	DIABLO
IL17RB	DIABLO
SNRPF	DIABLO
CFC1	VEGFC
ITIH4	VEGFC
PRSS7	CD4
ANGPTL3	CD4
ABL1	CD4
TGFB3	CD4
MDM2	CD4
IL28A	CD4
CDC37	IL2RA
FCER2	TNFRSF1B
CD48	TNFRSF1B
PTPN2	TNFRSF1B
FSTL3	TNFRSF1B
PAPPA	TNFRSF1B
CD300C	TNFRSF1B
HAVCR2	TNFRSF1B
UNC5C	TNFRSF1B
DLL1	TNFRSF1B
TNFRSF21	TNFRSF1B
CTSE	CD33
GSK3A	METAP2
GAPDH	METAP2
SGTA	METAP2
KPNB1	METAP2
PGD	METAP2
AKR7A2	METAP2
PKM2	METAP2
PA2G4	METAP2
PEBP1	METAP2
RAN	METAP2
NAPA	METAP2
HNRNPAB	METAP2
AK1	METAP2
PRDX6	METAP2
STIP1	METAP2
THBS1	APP
DKK1	APP
NID2	APP
TEC	APP
PDGFA	APP
PPBP-pep3	APP
CTSD	ARSB
KLK12	ARSB
FOLH1	ARSB
PIK3CG	ARSB
STAB2	ARSB
CAMK1D	ARSB
FLT3	ARSB
KLK6	ARSB
STK16	ARSB
PRSS27	ARSB
CDC42BPB	ARSB
OPCML	ARSB
COLEC12	ARSB
KLK14	ARSB
ETHE1	ARSB
DYRK3	ARSB
ZAP70	ARSB
APOD	ARSB
CMPK1	ARSB
AMH	ARSB
IL1RAPL2	ARSB
PRLR	ARSB
STK17B	ARSB
PDE11A	ARSB
MAP3K7	ARSB
ABL2	ARSB
BCAR3	ARSB
TNFRSF13C	ARSB
CDH15	ARSB
TNFRSF11A	ARSB
CDK5	NAAA
CTSZ	NAAA
