gene1	gene2
DYRK3	LTBR
TPM2	LTBR
ZAP70	LTBR
ADCYAP1-27	LTBR
HSD17B1	LTBR
APOD	LTBR
PDIA3	LTBR
SMPDL3A	LTBR
CMPK1	LTBR
RB1	LTBR
PDE2A	LTBR
STK17B	LTBR
MAP3K7	LTBR
ABL2	LTBR
BCAR3	LTBR
CALR	LTBR
CDH15	LTBR
FSTL3	MRC1
GRN	MRC1
CD163	MRC1
TNFRSF21	MRC1
LYVE1	CSF1R
NRP1	CSF1R
CD163	CSF1R
NOTCH3	CSF1R
CHEK1	MST1R
CNTN5	MST1R
AURKB	MST1R
BIRC5	MST1R
PTPN11	PAFAH1B2
PRKACA	PAFAH1B2
AKR1A1	PAFAH1B2
TPI1	PAFAH1B2
CRK	PAFAH1B2
IGFBP6	CDH3
ARSB	CDH3
PRSS27	CDH3
OPCML	CDH3
DKKL1	CDH3
AMH	CDH3
JAK2	CDH3
PDE2A	CDH3
TNFRSF13C	CDH3
RAC1	PRKCA
EDAR	PRKCA
METAP1	PRKCA
CSK	PRKCA
LYN-isoB	PRKCA
BTK	PRKCA
CA13	PRKCA
LYN	PRKCA
FYN	PRKCA
14-3-3	PRKCA
SPHK1	PRKCA
PDPK1	PRKCA
CLIC1	PRKCA
PPIF	PRKCA
PRKCB	PRKCA
SRC	PRKCA
MAPT	PRKCZ
PECAM1	PRKCZ
CRLF2	PRKCZ
MMP17	PRKCZ
ESR1	PRKCZ
GAS1	PRKCZ
CNTN5	PRKCZ
FCGR1A	PRKCZ
ABL1	PRKCZ
BCL2	PRKCZ
EPO	PRKCZ
TGFB3	PRKCZ
CDH12	PRKCZ
MMP10	PRKCZ
CCL13	PRKCZ
H2AFZ	PRKCZ
IL28A	PRKCZ
GREM1	PRKCZ
CD200	PRKCZ
CAPN1	GDI2
RPS27A-UbB	GDI2
AREG	GDI2
IFNG	GDI2
JAM3	GDI2
FTH1	GDI2
KREMEN2	GDI2
PRKCI	GDI2
BCL2	GDI2
XPNPEP1	GDI2
CAT	GDI2
VIP	GDI2
CA3	GDI2
MDH1	GDI2
PRDX1	GDI2
PSMA6	GDI2
RPS6KA5	GDI2
SBDS	GDI2
UBE2L3	GDI2
ARID3A	GDI2
EEF1B2	GDI2
EIF5A	GDI2
KPNB1	GDI2
PDXP	GDI2
UBE2N	GDI2
AKR1A1	GDI2
NME2	GDI2
NAPA	GDI2
TKT	GDI2
TPI1	GDI2
INHBB	GDI2
DHH	GDI2
FGF16	GDI2
IL29	GDI2
RPS27A	GDI2
EPB41	GDI2
CA1	GDI2
PSME1	GDI2
CSNK2A1-2B	GDI2
PPIE	GDI2
STIP1	GDI2
OSM	ICAM3
CCL1	ICAM3
KAT6A	ICAM3
ENTPD1	ICAM3
MATN3	ICAM3
STAB2	ICAM3
BSG	ICAM3
ENTPD3	ICAM3
ZAP70	ICAM3
CLU	ICAM3
MAP3K7	ICAM3
TNFRSF13B	PLAUR
DLL4	PLAUR
PDE5A	PLAUR
TDGF1	MAPT
PECAM1	MAPT
CRLF2	MAPT
MMP17	MAPT
ESR1	MAPT
GAS1	MAPT
ANGPTL3	MAPT
FCGR1A	MAPT
EPO	MAPT
TGFB3	MAPT
CDH12	MAPT
H2AFZ	MAPT
IL28A	MAPT
GREM1	MAPT
TNFRSF1B	TNFRSF1A
PTK6	TNFRSF1A
OLFM4	TNFRSF1A
DCN	NTRK3
EGFR	NTRK3
CNTFR	NTRK3
CNTN1	NTRK3
IL1R1	NTRK3
MRC2	NTRK3
WFIKKN2	NTRK3
CD109	NTRK3
LRIG3	NTRK3
CADM1	NTRK3
INSR	NTRK3
TEK	NTRK3
IGF1R	NTRK3
C3B	NTRK3
SLITRK5	NTRK3
NTRK2	NTRK3
ENG	NTRK3
CDNF	NTRK3
NRCAM	NTRK3
SEMA6A	NTRK3
CD86	NTRK3
FAM107A	TNFRSF17
IgG	TNFRSF17
HBEGF	TNFRSF17
DSG2	TNFRSF17
SLAMF7	TNFRSF17
laminin	DCN
BGN	DCN
RPS27A-UbB	CAPN1
RAC1	CAPN1
PTPN11	CAPN1
PRKACA	CAPN1
RPS6KA3	CAPN1
XPNPEP1	CAPN1
CASP3	CAPN1
MDH1	CAPN1
PSMA6	CAPN1
EEF1B2	CAPN1
UBE2N	CAPN1
AKR7A2	CAPN1
VTA1	CAPN1
NME2	CAPN1
NSFL1C	CAPN1
NAPA	CAPN1
TKT	CAPN1
TPI1	CAPN1
RPS27A	CAPN1
CSNK2A1-2B	CAPN1
PPIF	CAPN1
STIP1	CAPN1
CKB-CKM	CKM
CA3	CKM
PECAM1	TDGF1
MMP17	TDGF1
ICOS	TDGF1
PRSS7	TDGF1
GAS1	TDGF1
ENTPD3	TDGF1
LTA	TDGF1
MET	EGFR
CNTN1	EGFR
CNTN4	EGFR
CHL1	EGFR
IGF2R	EGFR
A2M	EGFR
Thrombin	EGFR
NCAM1	EGFR
NTRK2	EGFR
NOTCH1	EGFR
ROBO2	EGFR
Prothrombin	EGFR
ALCAM	EGFR
PGLYRP1	HGF
PAK3	HGF
PTPN2	HGF
SEZ6L2	HGF
IL7	HGF
Plasminogen	HGF
CBX5	HGF
LILRB1	HGF
NRXN1	HGF
CSNK2A2-2B	HGF
IL4R	HSPD1
C2	HSPD1
SERPINA4	HSPD1
BSG	HSPD1
SERPING1	HSPD1
CDON	HSPD1
LILRB2	HSPD1
ELANE	HSPD1
C2	C3B-inac
CFH	C3B-inac
IGF1	IGFBP5
C5A	IGFBP6
CFD	IGFBP6
IGFBP4	IGFBP6
SERPINF2	IGFBP6
ADAMTS13	IGFBP6
F7	IGFBP6
GFRA1	IGFBP6
SERPINA5	IGFBP6
BIRC5	IGFBP6
RBP4	IGFBP6
MST1	IGFBP6
SPARCL1	IGFBP6
C4	IGFBP6
ITIH4	IGFBP6
GOT1	IGFBP6
DBNL	IGFBP6
GPC5	IGFBP6
JAK2	IGFBP6
LAG3	IGFBP6
DPT	MIA
CCL1	OSM
AIF1	OSM
HDAC8	OSM
DSG1	OSM
JAM2	OSM
ARSB	OSM
CTSD	OSM
ENTPD1	OSM
KLK12	OSM
FOLH1	OSM
FCN2	OSM
PIK3CG	OSM
STAB2	OSM
CAMK1D	OSM
FLT3	OSM
KLK6	OSM
STK16	OSM
CDH6	OSM
MASP1	OSM
EPHB4	OSM
LGMN	OSM
PRSS27	OSM
MMEL1	OSM
CDC42BPB	OSM
OPCML	OSM
RBP4	OSM
CD84	OSM
DKKL1	OSM
PPP3R1	OSM
COLEC12	OSM
KLK14	OSM
IL5	OSM
DAPK2	OSM
DYRK3	OSM
TPM2	OSM
ZAP70	OSM
CLU	OSM
ADCYAP1-27	OSM
HSD17B1	OSM
APOD	OSM
PDIA3	OSM
SMPDL3A	OSM
CMPK1	OSM
PDE2A	OSM
STK17B	OSM
MAP3K7	OSM
BCAR3	OSM
CALR	OSM
CDH15	OSM
TNFRSF11A	OSM
CRLF2	PECAM1
MMP17	PECAM1
KAT6A	PECAM1
ESR1	PECAM1
CD4	PECAM1
GAS1	PECAM1
ANGPTL3	PECAM1
TGFB3	PECAM1
BMPER	PECAM1
MMP10	PECAM1
HBEGF	PECAM1
Plasmin	PECAM1
IL28A	PECAM1
ENTPD3	PECAM1
GREM1	PECAM1
SIGLEC1	PECAM1
LTA	PECAM1
PPBP-pep2	PF4
SERPINA3	PF4
TF	PF4
PPBP-pep3	PF4
F10A	PROS1
TFPI	PROS1
F10	PROS1
SHBG	PROS1
THBS2	CCL25
CDK8	CCL25
MMP12	CCL25
INHBA	SERPINA7
RET	SERPINA7
FETUB	SERPINA7
TFF3	SERPINA7
SHBG	SERPINA7
CSF3R	TNFSF18
IL1F7	TNFSF18
ARG1	TNFSF18
CD22	TNFSF18
WISP1	TNFSF18
AURKB	TNFSF18
BIRC5	TNFSF18
MASP1	TNFSF18
PRSS27	TNFSF18
OPCML	TNFSF18
PPP3R1	TNFSF18
COLEC12	TNFSF18
KLK14	TNFSF18
IL5	TNFSF18
TPO	TNFSF18
DYRK3	TNFSF18
SPHK2	TNFSF18
TPM2	TNFSF18
APOD	TNFSF18
CMPK1	TNFSF18
AGR2	TNFSF18
RB1	TNFSF18
PDE2A	TNFSF18
STK17B	TNFSF18
CDH15	TNFSF18
BCAM	CNTFR
NBL1	CNTFR
BMP7	CNTFR
IL1R1	CNTFR
PDCD1LG2	CNTFR
IL18BP	CNTFR
HTRA2	CNTFR
LRIG3	CNTFR
CADM1	CNTFR
IGF1R	CNTFR
SLITRK5	CNTFR
EPHA2	CNTFR
NTRK2	CNTFR
ENG	CNTFR
CD55	CNTFR
SEMA6A	CNTFR
UNC5D	CNTFR
CAMK1	AIMP1
IMPDH2	AIMP1
SIGLEC6	EPOR
LGALS4	EPOR
FLT3	CSF3R
NTRK1	CSF3R
OCIAD1	CSF3R
PTH	CSF3R
HSD17B1	CSF3R
ABL2	CSF3R
BCAR3	CSF3R
ARG1	IL1F7
FLT3	IL1F7
BIRC5	IL1F7
NTRK1	IL1F7
CDH6	IL1F7
MASP1	IL1F7
EPHB4	IL1F7
LGMN	IL1F7
PRSS27	IL1F7
CDC42BPB	IL1F7
OPCML	IL1F7
RBP4	IL1F7
DKKL1	IL1F7
PPP3R1	IL1F7
COLEC12	IL1F7
IL5	IL1F7
DYRK3	IL1F7
TPM2	IL1F7
SH2D1A	IL1F7
ADCYAP1-38	IL1F7
IL3	IL1F7
CMPK1	IL1F7
AGR2	IL1F7
ATP5B	IL1F7
RB1	IL1F7
PDE2A	IL1F7
STK17B	IL1F7
ABL2	IL1F7
TNFRSF13C	IL1F7
CDH15	IL1F7
INHBA	laminin
IGF1R	laminin
SEMA6A	laminin
ACY1	POR
ITGA1	POR
GPT	POR
NAGK	POR
AKR1A1	POR
HSD17B10	POR
DCTPP1	POR
PLK1	NANOG
FGF12	NANOG
DNAJC19	NANOG
DSC3	NANOG
PDE7A	NANOG
ADAMTS4	NCR2
CD207	NCR2
HCK	NCR2
IL17B	NCR2
NTF4	NCR2
PON1	NCR2
IL23A	NCR2
IL22	NOG
KLK6	NOG
LGALS4	NOV
FGF9	SIGLEC6
PCNA	SIGLEC6
LGALS4	SIGLEC6
ICOS	SIGLEC6
DNAJC19	SIGLEC6
SH2D1A	SIGLEC6
SERPINA6	SIGLEC7
CD163	SIGLEC7
INHBA	SHH
BMP7	SHH
INSR	SHH
A2M	SHH
NTRK2	SHH
SOD1	CRLF2
MMP17	CRLF2
ESR1	CRLF2
GAS1	CRLF2
KREMEN2	CRLF2
BCL2	CRLF2
TNFSF8	CRLF2
CDH12	CRLF2
PSMA6	CRLF2
CAMKK1	CRLF2
MED1	CRLF2
INHBB	CRLF2
IFNG	ULBP3
CNTF	ULBP3
CA3	ULBP3
MAPKAPK2	ULBP3
PAK6	ULBP3
UBE2L3	ULBP3
RASA1	ULBP3
GDF2	INHBA
LTF	AZU1
ALPL	AZU1
RETN	AZU1
DLL4	AZU1
PGLYRP1	AZU1
PRTN3	AZU1
